区分,項目,非改善群,非改善群n,改善群,改善群n,改善群の個別値,非改善群中央値,p
患者背景,ベースライン MMSE合計（点）,24.9±2.0,12,22.5±0.7,2,"23, 22",25.0,0.13186813186813187
患者背景,ベースライン CDR-SB（点）,1.5±0.7,12,1.8±0.4,2,"2, 1.5",1.5,0.7912087912087913
患者背景,ベースライン Global CDR,0.50±0.00,12,0.50±0.00,2,"0.5, 0.5",0.5,
患者背景,ベースライン MoCA-J（点）,21.6±1.9,5,17.0,1,17,21.0,0.3333333333333333
患者背景,ベースライン MMSE時間見当識（点）,4.2±1.0,12,2.0±0.0,2,"2, 2",5.0,0.02197802197802198
患者背景,観察期間（か月）,11.7±4.6,10,6.8,1,6.8,11.9,0.5454545454545454
追跡時,追跡時 MMSE合計（点）,24.4±2.3,12,24.0±1.4,2,"23, 25",24.0,0.9230769230769231
追跡時,追跡時 CDR-SB（点）,2.5±1.1,12,2.8±1.8,2,"4, 1.5",2.25,1.0
追跡時,追跡時 MMSE時間見当識（点）,3.4±1.5,12,3.5±0.7,2,"3, 4",4.0,0.9230769230769231
変化量,ΔMMSE合計（点）,-0.5±1.9,12,1.5±2.1,2,"0, 3",-0.5,0.3516483516483517
変化量,ΔCDR-SB（点）,0.9±0.8,12,1.0±1.4,2,"2, 0",0.75,1.0
変化量,ΔGlobal CDR,0.08±0.19,12,0.25±0.35,2,"0.5, 0",0.0,0.5494505494505495
変化量,ΔMMSE時間見当識（点）,-0.8±0.8,12,1.5±0.7,2,"1, 2",-1.0,0.02197802197802198
変化量（MMSE他下位項目）,ΔMMSE 場所見当識（点）,0.2±0.7,12,0.5±0.7,2,"0, 1",0.0,0.5494505494505495
変化量（MMSE他下位項目）,ΔMMSE 物品呼称（点）,0.0±0.0,12,0.0±0.0,2,"0, 0",0.0,
変化量（MMSE他下位項目）,ΔMMSE 記銘（点）,0.2±0.4,12,0.0±0.0,2,"0, 0",0.0,0.7912087912087913
変化量（MMSE他下位項目）,ΔMMSE 注意計算（点）,0.2±1.3,12,-0.5±2.1,2,"-2, 1",0.0,0.9230769230769231
変化量（MMSE他下位項目）,ΔMMSE 遅延再生（点）,-0.2±0.5,12,-0.5±0.7,2,"0, -1",0.0,0.6593406593406594
変化量（MMSE他下位項目）,ΔMMSE 復唱（点）,0.1±0.3,12,0.0±0.0,2,"0, 0",0.0,0.9230769230769231
変化量（MMSE他下位項目）,ΔMMSE 読字理解（点）,0.0±0.0,12,0.0±0.0,2,"0, 0",0.0,
変化量（MMSE他下位項目）,ΔMMSE 3段階命令（点）,0.0±0.0,12,0.0±0.0,2,"0, 0",0.0,
変化量（MMSE他下位項目）,ΔMMSE 書字（点）,0.0±0.0,12,0.0±0.0,2,"0, 0",0.0,
変化量（MMSE他下位項目）,ΔMMSE 図形模写（点）,0.0±0.0,12,0.5±0.7,2,"1, 0",0.0,0.3516483516483517
変化量（CDR下位領域）,ΔCDR 記憶（点）,0.17±0.25,12,0.25±0.35,2,"0.5, 0",0.0,0.7912087912087913
変化量（CDR下位領域）,ΔCDR 見当識（点）,0.25±0.26,12,0.00±0.00,2,"0, 0",0.25,0.3516483516483517
変化量（CDR下位領域）,ΔCDR 判断力・問題解決（点）,0.04±0.14,12,0.25±0.35,2,"0.5, 0",0.0,0.4395604395604396
変化量（CDR下位領域）,ΔCDR 地域社会の活動（点）,0.17±0.25,12,0.25±0.35,2,"0.5, 0",0.0,0.7912087912087913
変化量（CDR下位領域）,ΔCDR 家庭・趣味（点）,0.21±0.33,12,0.25±0.35,2,"0.5, 0",0.0,0.9230769230769231
変化量（CDR下位領域）,ΔCDR 身の回りの世話（点）,0.08±0.29,12,0.00±0.00,2,"0, 0",0.0,0.9230769230769231
