転帰,BL範囲,n_改善,n_対照,改善群Δ,対照Δ中央値,対照Δ範囲,対照で改善した例,p,p_BL差
MMSE合計,22〜23,2,21,"+0, +3",1,"［-7, 5］",11,0.79051,0.86957
CDR-SB,1.5〜2,2,25,"+2, +0",0.5,"［-0.5, 4］",2,0.88889,0.88889
Global CDR,0.5〜0.5,2,62,"+0.5, +0",0,"［0, 1.5］",0,0.48016,
MMSE 時間見当識,2〜2,2,9,"+1, +2",0,"［-2, 2］",3,0.21818,
MMSE 場所見当識,4〜5,2,68,"+0, +1",0,"［-2, 1］",12,0.38261,0.82153
MMSE 物品呼称,2〜2,2,71,"+0, +0",0,"［-2, 0］",0,0.9863,
MMSE 記銘,3〜3,2,69,"+0, +0",0,"［-2, 0］",0,0.98592,
MMSE 注意計算,3〜5,2,59,"-2, +1",0,"［-4, 2］",14,0.98361,0.71038
MMSE 遅延再生,0〜1,2,59,"+0, -1",0,"［-1, 3］",9,0.50492,0.82623
MMSE 復唱,1〜1,2,66,"+0, +0",0,"［-1, 0］",0,0.92713,
MMSE 読字理解,1〜1,2,71,"+0, +0",0,"［0, 0］",0,,
MMSE 3段階命令,3〜3,2,57,"+0, +0",0,"［-1, 0］",0,0.91642,
MMSE 書字,1〜1,2,71,"+0, +0",0,"［-1, 0］",0,0.9863,
MMSE 図形模写,0〜1,2,71,"+1, +0",0,"［-1, 0］",0,0.21994,0.28919
CDR 記憶,0.5〜0.5,2,59,"+0.5, +0",0,"［0, 1.5］",0,0.68306,
CDR 見当識,0.5〜0.5,2,46,"+0, +0",0,"［-0.5, 0.5］",3,0.85816,
CDR 判断力・問題解決,0.5〜0.5,2,46,"+0.5, +0",0,"［0, 0.5］",0,0.57447,
CDR 地域社会の活動,0〜0.5,2,62,"+0.5, +0",0,"［-0.5, 1.5］",1,0.69643,0.98413
CDR 家庭・趣味,0〜0,2,33,"+0.5, +0",0.5,"［0, 1］",0,0.91429,
CDR 身の回りの世話,0〜0,2,67,"+0, +0",0,"［0, 2］",0,0.79284,
