n1,n2,p,r,CLES,p_min,族,転帰,キー,対照,改善群値,対照中央値,対照範囲,p_BL差,BL改善群,BL対照中央値,p_FDR
1,12,0.30769,0.91667,0.95833,0.15385,主要（総合点）,MMSE合計,ΔMMSE合計,対照A（NPI非改善群）,+3,-0.5,"［-4, 3］",0.30769,22,25,0.69231
1,12,0.46154,-0.75,0.125,0.15385,主要（総合点）,CDR-SB,ΔCDR-SB,対照A（NPI非改善群）,+0,0.75,"［0, 2.5］",1,1.5,1.5,0.69231
1,12,0.92308,-0.16667,0.41667,0.15385,主要（総合点）,Global CDR,ΔGlobalCDR,対照A（NPI非改善群）,+0,0,"［0, 0.5］",,,,0.92308
0,5,,,,,主要（総合点）,MoCA-J,ΔMoCA-J,対照A（NPI非改善群）,－,0,"［-4, 2］",,,,
1,12,0.15385,1,1,0.15385,MMSE下位項目,MMSE 時間見当識,ΔMMSE_時間見当識,対照A（NPI非改善群）,+2,-1,"［-3, 0］",0.15385,2,5,0.69231
1,12,0.46154,0.75,0.875,0.15385,MMSE下位項目,MMSE 場所見当識,ΔMMSE_場所見当識,対照A（NPI非改善群）,+1,0,"［-1, 2］",0.76923,4,4.5,0.69231
1,12,,,,,MMSE下位項目,MMSE 物品呼称,ΔMMSE_物品呼称,対照A（NPI非改善群）,+0,0,"［0, 0］",,,,
1,12,0.92308,-0.16667,0.41667,0.15385,MMSE下位項目,MMSE 記銘,ΔMMSE_記銘,対照A（NPI非改善群）,+0,0,"［0, 1］",0.92308,3,3,1
1,12,0.46154,0.66667,0.83333,0.15385,MMSE下位項目,MMSE 注意計算,ΔMMSE_注意計算,対照A（NPI非改善群）,+1,0,"［-3, 3］",0.46154,3,4.5,0.69231
1,12,0.46154,-0.75,0.125,0.15385,MMSE下位項目,MMSE 遅延再生,ΔMMSE_遅延再生,対照A（NPI非改善群）,-1,0,"［-1, 0］",0.61538,1,0,0.69231
1,12,1,-0.083333,0.45833,0.15385,MMSE下位項目,MMSE 復唱,ΔMMSE_復唱,対照A（NPI非改善群）,+0,0,"［0, 1］",0.92308,1,1,1
1,12,,,,,MMSE下位項目,MMSE 読字理解,ΔMMSE_読字理解,対照A（NPI非改善群）,+0,0,"［0, 0］",,,,
1,12,,,,,MMSE下位項目,MMSE 3段階命令,ΔMMSE_3段階命令,対照A（NPI非改善群）,+0,0,"［0, 0］",1,3,3,
