転帰,n,中央値,L4_値,L4_百分位,L59_値,L59_百分位
MMSE合計,74,-0.5,0,56.8,3,89.9
CDR-SB,71,0.5,2,19,0,76.1
Global CDR,71,0,0.5,9.2,0,57.7
MoCA-J,30,-1,1,75,,
MMSE 時間見当識,73,-1,1,84.2,2,95.9
MMSE 場所見当識,73,0,0,46.6,1,88.4
MMSE 物品呼称,73,0,0,50.7,0,50.7
MMSE 記銘,73,0,0,49.3,0,49.3
MMSE 注意計算,73,0,-2,8.9,1,79.5
MMSE 遅延再生,73,0,0,59.6,-1,18.5
MMSE 復唱,73,0,0,50.7,0,50.7
MMSE 読字理解,73,0,0,50,0,50
MMSE 3段階命令,73,0,0,43.2,0,43.2
MMSE 書字,73,0,0,50.7,0,50.7
MMSE 図形模写,73,0,1,99.3,0,54.1
CDR 記憶,71,0,0.5,16.9,0,64.8
CDR 見当識,71,0,0,59.2,0,59.2
CDR 判断力・問題解決,71,0,0.5,12,0,60.6
CDR 地域社会の活動,71,0,0.5,16.2,0,62.7
CDR 家庭・趣味,71,0,0.5,23.9,0,69.7
CDR 身の回りの世話,71,0,0,57,0,57
