時点,区分,項目,非改善群,非改善群n,改善群,改善群n,改善群の個別値,p
6か月,患者背景,年齢（歳）,74.8±4.6,12,78.0±4.2,2,"75, 81",0.5494505494505495
6か月,NPI,NPI-Apathy score 初回（点）,0.25±0.62,12,1.00±0.00,2,"1, 1",0.13186813186813187
6か月,NPI,NPI-Apathy score 追跡時（点）,0.83±1.19,12,0.00±0.00,2,"0, 0",0.4395604395604396
6か月,NPI,NPI-Apathy score 変化量（点）,0.58±0.79,12,-1.00±0.00,2,"-1, -1",0.02197802197802198
6か月,初回,初回 MMSE合計,24.9±2.0,12,22.5±0.7,2,"23, 22",0.13186813186813187
6か月,初回,初回 CDR-SB,1.5±0.7,12,1.8±0.4,2,"2, 1.5",0.7912087912087913
6か月,初回,初回 Global CDR,0.50±0.00,12,0.50±0.00,2,"0.5, 0.5",
6か月,初回,初回 MoCA-J,21.5±2.1,10,18.0±1.4,2,"17, 19",0.12121212121212122
6か月,初回,初回 MMSE 時間見当識,4.2±1.0,12,2.0±0.0,2,"2, 2",0.02197802197802198
6か月,初回,初回 MMSE 場所見当識,4.4±0.7,12,4.5±0.7,2,"5, 4",1.0
6か月,初回,初回 MMSE 物品呼称,2.0±0.0,12,2.0±0.0,2,"2, 2",
6か月,初回,初回 MMSE 記銘,2.8±0.4,12,3.0±0.0,2,"3, 3",0.7912087912087913
6か月,初回,初回 MMSE 注意計算,4.1±1.2,12,4.0±1.4,2,"5, 3",0.9230769230769231
6か月,初回,初回 MMSE 遅延再生,0.6±0.9,12,0.5±0.7,2,"0, 1",1.0
6か月,初回,初回 MMSE 復唱,0.8±0.4,12,1.0±0.0,2,"1, 1",0.7912087912087913
6か月,初回,初回 MMSE 読字理解,1.0±0.0,12,1.0±0.0,2,"1, 1",
6か月,初回,初回 MMSE 3段階命令,2.9±0.3,12,3.0±0.0,2,"3, 3",0.9230769230769231
6か月,初回,初回 MMSE 書字,1.0±0.0,12,1.0±0.0,2,"1, 1",
6か月,初回,初回 MMSE 図形模写,1.0±0.0,12,0.5±0.7,2,"0, 1",0.3516483516483517
6か月,初回,初回 CDR 記憶,0.50±0.00,12,0.50±0.00,2,"0.5, 0.5",
6か月,初回,初回 CDR 見当識,0.21±0.26,12,0.50±0.00,2,"0.5, 0.5",0.26373626373626374
6か月,初回,初回 CDR 判断力・問題解決,0.42±0.19,12,0.50±0.00,2,"0.5, 0.5",0.7912087912087913
6か月,初回,初回 CDR 地域社会の活動,0.21±0.26,12,0.25±0.35,2,"0.5, 0",0.9230769230769231
6か月,初回,初回 CDR 家庭・趣味,0.21±0.26,12,0.00±0.00,2,"0, 0",0.4395604395604396
6か月,初回,初回 CDR 身の回りの世話,0.00±0.00,12,0.00±0.00,2,"0, 0",
6か月,6か月,6か月 MMSE合計,24.4±2.3,12,25.0±0.0,2,"25, 25",0.6593406593406594
6か月,6か月,6か月 CDR-SB,2.0±0.9,12,2.0±0.7,2,"2.5, 1.5",1.0
6か月,6か月,6か月 Global CDR,0.54±0.14,12,0.50±0.00,2,"0.5, 0.5",0.9230769230769231
6か月,6か月,6か月 MoCA-J,21.0±2.2,4,20.0,1,20,0.8
6か月,6か月,6か月 MMSE 時間見当識,3.4±1.2,12,3.5±0.7,2,"3, 4",1.0
6か月,6か月,6か月 MMSE 場所見当識,4.9±0.3,12,5.0±0.0,2,"5, 5",0.9230769230769231
6か月,6か月,6か月 MMSE 物品呼称,2.0±0.0,12,2.0±0.0,2,"2, 2",
6か月,6か月,6か月 MMSE 記銘,3.0±0.0,12,3.0±0.0,2,"3, 3",
