時点,項目,非改善群,非改善群%,改善群,改善群%,p
6か月,女性,7/12,58.3,2/2,100.0,0.5054945054945055
6か月,初回のNPI-Apathy score ≧1点,2/12,16.7,2/2,100.0,0.06593406593406594
6か月,追跡時に易怒性あり,6/12,50.0,2/2,100.0,0.4725274725274725
6か月,易怒性が新規出現,4/12,33.3,2/2,100.0,0.1648351648351648
6か月,MMSE時間見当識が改善（Δ≧+1）,0/12,0.0,2/2,100.0,0.010989010989010988
6か月,MMSE時間見当識が低下（Δ≦−1）,8/12,66.7,0/2,0.0,0.16483516483516483
6か月,MMSE合計が改善（Δ≧+1）,3/12,25.0,2/2,100.0,0.10989010989010989
6か月,MMSE合計が低下（Δ≦−1）,8/12,66.7,0/2,0.0,0.16483516483516483
6か月,CDR-SBが悪化（Δ≧+0.5）,7/12,58.3,1/2,50.0,1.0
12か月,女性,5/8,62.5,1/1,100.0,1.0
12か月,初回のNPI-Apathy score ≧1点,0/8,0.0,1/1,100.0,0.1111111111111111
12か月,追跡時に易怒性あり,3/8,37.5,1/1,100.0,0.44444444444444453
12か月,易怒性が新規出現,3/8,37.5,1/1,100.0,0.44444444444444453
12か月,MMSE時間見当識が改善（Δ≧+1）,1/8,12.5,0/1,0.0,1.0
12か月,MMSE時間見当識が低下（Δ≦−1）,4/8,50.0,0/1,0.0,1.0
12か月,MMSE合計が改善（Δ≧+1）,3/8,37.5,0/1,0.0,1.0
12か月,MMSE合計が低下（Δ≦−1）,2/8,25.0,1/1,100.0,0.33333333333333337
12か月,CDR-SBが悪化（Δ≧+0.5）,6/8,75.0,1/1,100.0,1.0
18か月,女性,3/5,60.0,1/1,100.0,1.0
18か月,初回のNPI-Apathy score ≧1点,0/5,0.0,1/1,100.0,0.16666666666666669
18か月,追跡時に易怒性あり,2/5,40.0,1/1,100.0,1.0
18か月,易怒性が新規出現,2/5,40.0,1/1,100.0,1.0
18か月,MMSE時間見当識が改善（Δ≧+1）,0/5,0.0,0/1,0.0,1.0
18か月,MMSE時間見当識が低下（Δ≦−1）,2/5,40.0,0/1,0.0,1.0
18か月,MMSE合計が改善（Δ≧+1）,3/5,60.0,0/1,0.0,1.0
18か月,MMSE合計が低下（Δ≦−1）,1/5,20.0,1/1,100.0,0.3333333333333333
18か月,CDR-SBが悪化（Δ≧+0.5）,5/5,100.0,1/1,100.0,1.0
最終利用可能時点,女性,7/12,58.3,2/2,100.0,0.5054945054945055
最終利用可能時点,初回のNPI-Apathy score ≧1点,2/12,16.7,2/2,100.0,0.06593406593406594
最終利用可能時点,追跡時に易怒性あり,6/12,50.0,2/2,100.0,0.4725274725274725
最終利用可能時点,易怒性が新規出現,4/12,33.3,2/2,100.0,0.1648351648351648
最終利用可能時点,MMSE時間見当識が改善（Δ≧+1）,0/12,0.0,2/2,100.0,0.010989010989010988
最終利用可能時点,MMSE時間見当識が低下（Δ≦−1）,8/12,66.7,0/2,0.0,0.16483516483516483
最終利用可能時点,MMSE合計が改善（Δ≧+1）,4/12,33.3,1/2,50.0,1.0
最終利用可能時点,MMSE合計が低下（Δ≦−1）,6/12,50.0,0/2,0.0,0.4725274725274724
最終利用可能時点,CDR-SBが悪化（Δ≧+0.5）,9/12,75.0,1/2,50.0,0.5054945054945055
