転帰,モデル,n,n_あり,n_なし,群間差,p
CDR-SB,調整なし（変化量そのもの）,15,5,10,-0.95,0.040959
CDR-SB,ベースライン値で調整,15,5,10,-0.795,0.070929
CDR-SB,追跡期間で調整,13,5,8,-0.6359,0.13364
CDR-SB,ベースライン値＋追跡期間で調整,13,5,8,-0.3361,0.38228
CDR-SB,ベースライン値＋追跡期間＋薬剤で調整,13,5,8,-0.0539,0.87335
MMSE合計,調整なし（変化量そのもの）,15,5,10,0.3,0.8981
MMSE合計,ベースライン値で調整,15,5,10,-0.1304,0.9041
MMSE合計,追跡期間で調整,13,5,8,1.0147,0.38073
MMSE合計,ベースライン値＋追跡期間で調整,13,5,8,0.3739,0.71173
MMSE合計,ベースライン値＋追跡期間＋薬剤で調整,13,5,8,0.6892,0.51437
MMSE 遅延再生,調整なし（変化量そのもの）,15,5,10,-0.5,0.076923
MMSE 遅延再生,ベースライン値で調整,15,5,10,-0.4808,0.051615
MMSE 遅延再生,追跡期間で調整,13,5,8,-0.2841,0.23077
MMSE 遅延再生,ベースライン値＋追跡期間で調整,13,5,8,-0.292,0.18648
MMSE 遅延再生,ベースライン値＋追跡期間＋薬剤で調整,13,5,8,-0.361,0.10179
Global CDR,調整なし（変化量そのもの）,15,5,10,-0.1,0.52381
Global CDR,ベースライン値で調整,15,5,10,-0.0857,0.52381
Global CDR,追跡期間で調整,13,5,8,-0.0431,0.64258
Global CDR,ベースライン値＋追跡期間で調整,13,5,8,-0.0172,0.84615
Global CDR,ベースライン値＋追跡期間＋薬剤で調整,13,5,8,0.0362,0.68765
