指標,あり,なし,p
MMSE合計,"22.5［20, 28］（20, 22, 22, 23, 25, 28）","24.5［22, 28］（22, 22, 24, 24, 24, 25, 25, 25, 27, 28）",0.31319
CDR-SB,"2.25［1, 4］（1, 1.5, 2, 2.5, 3, 4）","1.5［0.5, 2.5］（0.5, 1, 1, 1, 1.5, 1.5, 2, 2, 2, 2.5）",0.1471
Global CDR,"0.5［0.5, 1］（0.5, 0.5, 0.5, 0.5, 0.5, 1）","0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",0.63536
MoCA-J,"17［17, 17］（17）","21［19, 24］（19, 21, 21, 23, 24）",0.33333
MMSE 時間見当識,"2.5［2, 5］（2, 2, 2, 3, 4, 5）","5［3, 5］（3, 3, 3, 4, 5, 5, 5, 5, 5, 5）",0.055944
MMSE 場所見当識,"4.5［4, 5］（4, 4, 4, 5, 5, 5）","4.5［3, 5］（3, 4, 4, 4, 4, 5, 5, 5, 5, 5）",0.95779
MMSE 物品呼称,"2［2, 2］（2, 2, 2, 2, 2, 2）","2［2, 2］（2, 2, 2, 2, 2, 2, 2, 2, 2, 2）",
MMSE 記銘,"3［3, 3］（3, 3, 3, 3, 3, 3）","3［2, 3］（2, 2, 3, 3, 3, 3, 3, 3, 3, 3）",0.56219
MMSE 注意計算,"4［1, 5］（1, 3, 3, 5, 5, 5）","4［1, 5］（1, 3, 3, 4, 4, 4, 5, 5, 5, 5）",0.95779
MMSE 遅延再生,"0.5［0, 1］（0, 0, 0, 1, 1, 1）","0［0, 3］（0, 0, 0, 0, 0, 0, 0, 1, 1, 3）",0.71279
MMSE 復唱,"1［0, 1］（0, 1, 1, 1, 1, 1）","1［0, 1］（0, 0, 1, 1, 1, 1, 1, 1, 1, 1）",0.95779
MMSE 読字理解,"1［1, 1］（1, 1, 1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",
MMSE 3段階命令,"3［3, 3］（3, 3, 3, 3, 3, 3）","3［2, 3］（2, 3, 3, 3, 3, 3, 3, 3, 3, 3）",0.79246
MMSE 書字,"1［1, 1］（1, 1, 1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",
MMSE 図形模写,"1［0, 1］（0, 1, 1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",0.63536
CDR 記憶,"0.5［0.5, 1］（0.5, 0.5, 0.5, 0.5, 1, 1）","0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",0.31319
CDR 見当識,"0.5［0, 0.5］（0, 0.5, 0.5, 0.5, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.18057
CDR 判断力・問題解決,"0.5［0, 1］（0, 0.5, 0.5, 0.5, 1, 1）","0.5［0, 0.5］（0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",0.49226
CDR 地域社会の活動,"0.5［0, 1］（0, 0, 0.5, 0.5, 0.5, 1）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.31319
CDR 家庭・趣味,"0.25［0, 0.5］（0, 0, 0, 0.5, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5）",0.56219
CDR 身の回りの世話,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",
