n1,n2,med1,med2,min1,max1,min2,max2,u,p,r,cles,n_req_1to1,n_req_obs,note,項目,群分け,転帰,p_fdr
1,10,5.294,-1.228,5.294,5.294,-4.034,0.968,10,0.1818,1,1,11,32,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE合計/年,1
1,10,3.529,-1.264,3.529,3.529,-2.057,0,10,0.1818,1,1,11,32,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_時間見当識/年,1
1,10,1.765,0,1.765,1.765,-1.519,1.765,9.5,0.3636,0.9,0.95,13,40,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_場所見当識/年,1
1,10,0,0,0,0,0,1.935,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_記銘/年,1
1,10,1.765,0,1.765,1.765,-3.025,0.686,10,0.1818,1,1,11,32,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_注意計算/年,1
1,10,-1.765,0,-1.765,-1.765,-1.765,0,0.5,0.3636,-0.9,0.05,13,40,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_遅延再生/年,1
1,10,0,0,0,0,0,0.968,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_復唱/年,1
1,10,0,0.895,0,0,0,2.017,1.5,0.5455,-0.7,0.15,22,65,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR-SB/年,1
1,10,0,0,0,0,0,0.504,3.5,0.9091,-0.3,0.35,117,352,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_記憶/年,1
1,10,0,0.1715,0,0,0,0.968,2.5,0.7273,-0.5,0.25,42,127,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_見当識/年,1
1,10,0,0,0,0,0,0.339,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_判断力・問題解決/年,1
1,10,0,0,0,0,0,0.504,3,0.7273,-0.4,0.3,66,198,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_地域社会の活動/年,1
1,10,0,0,0,0,0,0.686,3.5,0.9091,-0.3,0.35,117,352,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_家庭・趣味/年,1
1,10,0,0,0,0,0,0.678,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_身の回りの世話/年,1
1,10,0,0,0,0,0,0.343,4,0.9091,-0.2,0.4,262,792,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔGlobalCDR/年,1
8,3,-0.345,-1.765,-4.034,5.294,-3.288,0,15.5,0.6303,0.2917,0.6458,124,156,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE合計/年,1
8,3,-0.849,-1.765,-1.935,3.529,-2.057,-1.644,22,0.04848,0.8333,0.9167,16,19,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_時間見当識/年,1
8,3,0,1.371,-1.519,1.765,0,1.765,5.5,0.2788,-0.5417,0.2292,36,45,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_場所見当識/年,1
8,3,0,0,0,1.935,0,0,13.5,0.9212,0.125,0.5625,670,845,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_記銘/年,1
8,3,0,0,-3.025,1.765,0,0.686,10,0.7758,-0.1667,0.4167,377,475,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_注意計算/年,1
8,3,0,-1.644,-1.765,0,-1.765,0,17.5,0.3758,0.4583,0.7292,50,63,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_遅延再生/年,1
8,3,0,0,0,0.968,0,0,13.5,0.9212,0.125,0.5625,670,845,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE_復唱/年,1
8,3,0.829,0.822,0,2.017,0,1.714,11.5,1,-0.04167,0.4792,6028,7598,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR-SB/年,1
8,3,0,0,0,0.504,0,0.343,12,1,0,0.5,,,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_記憶/年,1
