転帰,n,BL中央値,FU中央値,Δ中央値,Δ平均,悪化例,不変例,改善例,W,p,p_fdr
ΔMMSE合計,74,24,24,-0.5,-0.473,37,10,27,860,0.2245,0.3207
ΔMMSE_時間見当識,73,4,3,-1,-0.397,37,18,18,484.5,0.0125,0.02499
ΔMMSE_場所見当識,73,5,5,0,0.041,11,46,16,172.5,0.6678,0.7342
ΔMMSE_物品呼称,73,2,2,0,-0.027,1,72,0,0,0.3173,0.3966
ΔMMSE_記銘,73,3,3,0,0,1,70,2,3,1,1
ΔMMSE_注意計算,73,4,4,0,-0.055,24,26,23,528.5,0.6975,0.7342
ΔMMSE_遅延再生,73,0,0,0,-0.178,23,41,9,169,0.05905,0.09085
ΔMMSE_復唱,73,1,1,0,-0.014,3,68,2,6,0.6547,0.7342
ΔMMSE_読字理解,73,1,1,0,0,0,73,0,,,
ΔMMSE_3段階命令,73,3,3,0,0.178,3,57,13,21,0.009455,0.02101
ΔMMSE_書字,73,1,1,0,-0.014,1,72,0,0,0.3173,0.3966
ΔMMSE_図形模写,73,1,1,0,-0.082,7,65,1,4.5,0.03389,0.05649
ΔCDR-SB,71,2,2.5,0.5,0.937,42,24,5,63.5,9.04e-08,1.808e-06
ΔCDR_記憶,71,0.5,0.5,0,0.176,21,50,0,0,1.39e-05,9.27e-05
ΔCDR_見当識,71,0.5,0.5,0,0.092,17,50,4,44,0.004556,0.01139
ΔCDR_判断力・問題解決,71,0.5,0.5,0,0.106,17,52,2,20,0.0005791,0.002316
ΔCDR_地域社会の活動,71,0.5,0.5,0,0.169,19,51,1,8.5,0.0001241,0.0006207
ΔCDR_家庭・趣味,71,0.5,0.5,0,0.239,29,41,1,13,1.157e-06,1.157e-05
ΔCDR_身の回りの世話,71,0,0,0,0.155,10,61,0,0,0.002282,0.00652
ΔGlobalCDR,71,0.5,0.5,0,0.106,11,60,0,0,0.001766,0.005888
ΔMoCA-J,30,20,18,-1,-2.133,18,2,10,105.5,0.02541,0.04619
