種別,変数1,変数2,n,rho,p,n_req_80power,p_fdr
Δ×Δ,ΔMMSE合計,ΔMMSE_時間見当識,73,0.691,1.293e-11,14,1.051e-09
Δ×Δ,ΔMMSE合計,ΔMMSE_場所見当識,73,0.362,0.00164,58,0.02121
Δ×Δ,ΔMMSE合計,ΔMMSE_物品呼称,73,-0.189,0.1096,218,0.3921
Δ×Δ,ΔMMSE合計,ΔMMSE_記銘,73,0.051,0.6701,3052,0.9057
Δ×Δ,ΔMMSE合計,ΔMMSE_注意計算,73,0.564,1.991e-07,23,5.665e-06
Δ×Δ,ΔMMSE合計,ΔMMSE_遅延再生,73,0.453,5.692e-05,36,0.00108
Δ×Δ,ΔMMSE合計,ΔMMSE_復唱,73,0.19,0.1069,215,0.3885
Δ×Δ,ΔMMSE合計,ΔMMSE_3段階命令,73,0.007,0.9561,182539,0.9982
Δ×Δ,ΔMMSE合計,ΔMMSE_書字,73,0.194,0.09919,206,0.3738
Δ×Δ,ΔMMSE合計,ΔMMSE_図形模写,73,0.359,0.001827,59,0.02223
Δ×Δ,ΔMMSE合計,ΔCDR-SB,71,-0.51,5.495e-06,28,0.0001251
Δ×Δ,ΔMMSE合計,ΔCDR_記憶,71,-0.415,0.0003244,44,0.005128
Δ×Δ,ΔMMSE合計,ΔCDR_見当識,71,-0.539,1.262e-06,25,3.123e-05
Δ×Δ,ΔMMSE合計,ΔCDR_判断力・問題解決,71,-0.243,0.04154,132,0.2168
Δ×Δ,ΔMMSE合計,ΔCDR_地域社会の活動,71,-0.327,0.005388,72,0.05026
Δ×Δ,ΔMMSE合計,ΔCDR_家庭・趣味,71,-0.276,0.01965,101,0.138
Δ×Δ,ΔMMSE合計,ΔCDR_身の回りの世話,71,-0.269,0.02346,107,0.1518
Δ×Δ,ΔMMSE合計,ΔGlobalCDR,71,-0.167,0.1641,280,0.4787
Δ×Δ,ΔMMSE合計,ΔMoCA-J,30,0.543,0.001946,25,0.02307
Δ×Δ,ΔMMSE_時間見当識,ΔMMSE_場所見当識,73,0.111,0.3494,634,0.6945
Δ×Δ,ΔMMSE_時間見当識,ΔMMSE_物品呼称,73,-0.055,0.6448,2605,0.8998
Δ×Δ,ΔMMSE_時間見当識,ΔMMSE_記銘,73,-0.04,0.7395,5009,0.934
Δ×Δ,ΔMMSE_時間見当識,ΔMMSE_注意計算,73,0.179,0.1308,245,0.4156
Δ×Δ,ΔMMSE_時間見当識,ΔMMSE_遅延再生,73,0.231,0.04933,145,0.2441
Δ×Δ,ΔMMSE_時間見当識,ΔMMSE_復唱,73,0.027,0.8192,10594,0.9611
Δ×Δ,ΔMMSE_時間見当識,ΔMMSE_3段階命令,73,-0.183,0.1212,233,0.4065
Δ×Δ,ΔMMSE_時間見当識,ΔMMSE_書字,73,0.165,0.164,288,0.4787
Δ×Δ,ΔMMSE_時間見当識,ΔMMSE_図形模写,73,0.255,0.02942,119,0.1762
Δ×Δ,ΔMMSE_時間見当識,ΔCDR-SB,70,-0.576,1.764e-07,22,5.282e-06
Δ×Δ,ΔMMSE_時間見当識,ΔCDR_記憶,70,-0.351,0.002878,62,0.03032
Δ×Δ,ΔMMSE_時間見当識,ΔCDR_見当識,70,-0.583,1.188e-07,21,3.755e-06
Δ×Δ,ΔMMSE_時間見当識,ΔCDR_判断力・問題解決,70,-0.283,0.01777,97,0.1313
Δ×Δ,ΔMMSE_時間見当識,ΔCDR_地域社会の活動,70,-0.412,0.0004006,45,0.005998
Δ×Δ,ΔMMSE_時間見当識,ΔCDR_家庭・趣味,70,-0.33,0.005248,70,0.04977
Δ×Δ,ΔMMSE_時間見当識,ΔCDR_身の回りの世話,70,-0.331,0.005153,70,0.0497
Δ×Δ,ΔMMSE_時間見当識,ΔGlobalCDR,70,-0.206,0.08706,183,0.344
Δ×Δ,ΔMMSE_時間見当識,ΔMoCA-J,30,0.582,0.0007463,21,0.01062
Δ×Δ,ΔMMSE_場所見当識,ΔMMSE_物品呼称,73,-0.182,0.1232,235,0.4065
Δ×Δ,ΔMMSE_場所見当識,ΔMMSE_記銘,73,-0.01,0.9363,86665,0.9982
Δ×Δ,ΔMMSE_場所見当識,ΔMMSE_注意計算,73,0.066,0.579,1800,0.858
