n1,n2,med1,med2,min1,max1,min2,max2,u,p,r,cles,n_req_1to1,n_req_obs,note,転帰,群1,群2,p_fdr
59,15,-1,0,-9,5,-4,3,396,0.54,-0.1051,0.4475,948,1466,,ΔMMSE合計,レカネマブ,ドナネマブ,0.9126
59,14,-1,-0.5,-3,3,-2,1,433.5,0.787,0.04964,0.5248,4248,6851,,ΔMMSE_時間見当識,レカネマブ,ドナネマブ,0.9346
59,14,0,0,-2,2,-1,1,468,0.4493,0.1332,0.5666,591,952,,ΔMMSE_場所見当識,レカネマブ,ドナネマブ,0.9126
59,14,0,0,-2,0,0,0,406,0.9282,-0.01695,0.4915,36430,58757,,ΔMMSE_物品呼称,レカネマブ,ドナネマブ,0.9393
59,14,0,0,0,1,-2,0,455.5,0.5649,0.1029,0.5515,989,1594,,ΔMMSE_記銘,レカネマブ,ドナネマブ,0.9126
59,14,0,0,-4,3,-2,2,382,0.6724,-0.07506,0.4625,1858,2996,,ΔMMSE_注意計算,レカネマブ,ドナネマブ,0.9126
59,14,0,0,-2,3,-1,2,301,0.119,-0.2712,0.3644,143,230,,ΔMMSE_遅延再生,レカネマブ,ドナネマブ,0.9126
59,14,0,0,-1,1,0,1,371,0.5649,-0.1017,0.4492,1012,1633,,ΔMMSE_復唱,レカネマブ,ドナネマブ,0.9126
59,14,0,0,-1,2,-1,1,446,0.6523,0.0799,0.54,1640,2644,,ΔMMSE_3段階命令,レカネマブ,ドナネマブ,0.9126
59,14,0,0,-1,0,0,0,406,0.9282,-0.01695,0.4915,36430,58757,,ΔMMSE_書字,レカネマブ,ドナネマブ,0.9393
59,14,0,0,-1,1,-1,0,407,0.9393,-0.01453,0.4927,49585,79975,,ΔMMSE_図形模写,レカネマブ,ドナネマブ,0.9393
56,15,0.5,0,-1,6.5,0,2.5,505,0.2366,0.2024,0.6012,256,384,,ΔCDR-SB,レカネマブ,ドナネマブ,0.9126
56,15,0,0,0,1.5,0,0.5,441.5,0.7751,0.05119,0.5256,3994,5992,,ΔCDR_記憶,レカネマブ,ドナネマブ,0.9346
56,15,0,0,-0.5,0.5,0,0.5,484,0.3749,0.1524,0.5762,451,677,,ΔCDR_見当識,レカネマブ,ドナネマブ,0.9126
56,15,0,0,-0.5,0.5,0,0.5,463.5,0.5532,0.1036,0.5518,976,1464,,ΔCDR_判断力・問題解決,レカネマブ,ドナネマブ,0.9126
56,15,0,0,-0.5,1.5,0,1,513.5,0.1947,0.2226,0.6113,212,317,,ΔCDR_地域社会の活動,レカネマブ,ドナネマブ,0.9126
56,15,0,0,-0.5,1.5,0,1,453.5,0.6504,0.07976,0.5399,1645,2468,,ΔCDR_家庭・趣味,レカネマブ,ドナネマブ,0.9126
56,15,0,0,0,2,0,0,495,0.2973,0.1786,0.5893,329,493,,ΔCDR_身の回りの世話,レカネマブ,ドナネマブ,0.9126
56,15,0,0,0,1.5,0,0,502.5,0.2539,0.1964,0.5982,272,407,,ΔGlobalCDR,レカネマブ,ドナネマブ,0.9126
