説明変数,転帰,n,rho,p,n_req_80power,p_fdr
ベースラインNPI陽性項目数(0-2),ΔMMSE合計,14,-0.036,0.9039,6197,0.9772
ベースラインNPI陽性項目数(0-2),ΔMMSE_時間見当識,14,-0.111,0.7057,636,0.9772
ベースラインNPI陽性項目数(0-2),ΔMMSE_場所見当識,14,0.532,0.05011,26,0.9772
ベースラインNPI陽性項目数(0-2),ΔMMSE_記銘,14,0.029,0.9221,9444,0.9772
ベースラインNPI陽性項目数(0-2),ΔMMSE_注意計算,14,0.001,0.9962,4044275,0.9962
ベースラインNPI陽性項目数(0-2),ΔMMSE_遅延再生,14,-0.469,0.09077,34,0.9772
ベースラインNPI陽性項目数(0-2),ΔMMSE_復唱,14,-0.235,0.4187,140,0.9772
ベースラインNPI陽性項目数(0-2),ΔMMSE_図形模写,14,0.274,0.3428,103,0.9772
ベースラインNPI陽性項目数(0-2),ΔCDR-SB,14,-0.09,0.7602,972,0.9772
ベースラインNPI陽性項目数(0-2),ΔCDR_記憶,14,-0.084,0.7747,1105,0.9772
ベースラインNPI陽性項目数(0-2),ΔCDR_見当識,14,0.183,0.5302,231,0.9772
ベースラインNPI陽性項目数(0-2),ΔCDR_判断力・問題解決,14,0.029,0.9221,9444,0.9772
ベースラインNPI陽性項目数(0-2),ΔCDR_地域社会の活動,14,-0.084,0.7747,1105,0.9772
ベースラインNPI陽性項目数(0-2),ΔCDR_家庭・趣味,14,-0.025,0.9319,12391,0.9772
ベースラインNPI陽性項目数(0-2),ΔCDR_身の回りの世話,14,-0.235,0.4187,140,0.9772
ベースラインNPI陽性項目数(0-2),ΔGlobalCDR,14,0.197,0.5004,201,0.9772
ベースラインNPI陽性項目数(0-2),ΔMoCA-J,6,-0.315,0.543,77,0.9772
フォローアップNPI陽性項目数(0-2),ΔMMSE合計,14,0.041,0.8886,4609,0.9772
フォローアップNPI陽性項目数(0-2),ΔMMSE_時間見当識,14,-0.08,0.7855,1221,0.9772
フォローアップNPI陽性項目数(0-2),ΔMMSE_場所見当識,14,0.403,0.1528,46,0.9772
フォローアップNPI陽性項目数(0-2),ΔMMSE_記銘,14,0.055,0.8517,2588,0.9772
フォローアップNPI陽性項目数(0-2),ΔMMSE_注意計算,14,0.076,0.7967,1364,0.9772
フォローアップNPI陽性項目数(0-2),ΔMMSE_遅延再生,14,-0.277,0.3374,100,0.9772
フォローアップNPI陽性項目数(0-2),ΔMMSE_復唱,14,-0.374,0.1878,54,0.9772
フォローアップNPI陽性項目数(0-2),ΔMMSE_図形模写,14,0.037,0.899,5610,0.9772
フォローアップNPI陽性項目数(0-2),ΔCDR-SB,14,-0.088,0.7644,1008,0.9772
フォローアップNPI陽性項目数(0-2),ΔCDR_記憶,14,-0.121,0.6813,538,0.9772
フォローアップNPI陽性項目数(0-2),ΔCDR_見当識,14,0.311,0.2785,79,0.9772
フォローアップNPI陽性項目数(0-2),ΔCDR_判断力・問題解決,14,-0.248,0.3932,126,0.9772
フォローアップNPI陽性項目数(0-2),ΔCDR_地域社会の活動,14,-0.121,0.6813,538,0.9772
フォローアップNPI陽性項目数(0-2),ΔCDR_家庭・趣味,14,0.081,0.7842,1207,0.9772
フォローアップNPI陽性項目数(0-2),ΔCDR_身の回りの世話,14,-0.374,0.1878,54,0.9772
フォローアップNPI陽性項目数(0-2),ΔGlobalCDR,14,-0.188,0.5203,221,0.9772
フォローアップNPI陽性項目数(0-2),ΔMoCA-J,6,-0.257,0.6226,117,0.9772
NPI陽性項目数の変化(FU-BL),ΔMMSE合計,14,0.045,0.8789,3891,0.9772
NPI陽性項目数の変化(FU-BL),ΔMMSE_時間見当識,14,-0.013,0.9657,49000,0.9772
NPI陽性項目数の変化(FU-BL),ΔMMSE_場所見当識,14,0.026,0.9294,11517,0.9772
NPI陽性項目数の変化(FU-BL),ΔMMSE_記銘,14,0.09,0.76,970,0.9772
NPI陽性項目数の変化(FU-BL),ΔMMSE_注意計算,14,-0.019,0.9491,22156,0.9772
NPI陽性項目数の変化(FU-BL),ΔMMSE_遅延再生,14,0.162,0.579,296,0.9772
NPI陽性項目数の変化(FU-BL),ΔMMSE_復唱,14,-0.204,0.4853,188,0.9772
NPI陽性項目数の変化(FU-BL),ΔMMSE_図形模写,14,-0.204,0.4853,188,0.9772
NPI陽性項目数の変化(FU-BL),ΔCDR-SB,14,0.015,0.9603,36512,0.9772
NPI陽性項目数の変化(FU-BL),ΔCDR_記憶,14,0.022,0.9408,16397,0.9772
NPI陽性項目数の変化(FU-BL),ΔCDR_見当識,14,0.191,0.5138,214,0.9772
NPI陽性項目数の変化(FU-BL),ΔCDR_判断力・問題解決,14,-0.3,0.2981,86,0.9772
NPI陽性項目数の変化(FU-BL),ΔCDR_地域社会の活動,14,0.022,0.9408,16397,0.9772
NPI陽性項目数の変化(FU-BL),ΔCDR_家庭・趣味,14,0.082,0.7817,1179,0.9772
NPI陽性項目数の変化(FU-BL),ΔCDR_身の回りの世話,14,-0.204,0.4853,188,0.9772
NPI陽性項目数の変化(FU-BL),ΔGlobalCDR,14,-0.383,0.1762,52,0.9772
NPI陽性項目数の変化(FU-BL),ΔMoCA-J,6,-0.063,0.9062,2000,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔMMSE合計,14,0.127,0.6649,484,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔMMSE_時間見当識,14,-0.385,0.1738,51,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔMMSE_場所見当識,14,0.032,0.9125,7484,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔMMSE_記銘,14,0.297,0.302,87,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔMMSE_注意計算,14,0.376,0.1846,54,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔMMSE_遅延再生,14,0.345,0.2264,64,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔMMSE_復唱,14,-0.04,0.8909,4809,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔMMSE_図形模写,14,-0.485,0.07897,32,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔCDR-SB,14,0.221,0.4479,159,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔCDR_記憶,14,0.174,0.5526,258,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔCDR_見当識,14,0.378,0.1822,53,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔCDR_判断力・問題解決,14,-0.386,0.1722,51,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔCDR_地域社会の活動,14,-0.087,0.7678,1039,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔCDR_家庭・趣味,14,0.243,0.403,131,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔCDR_身の回りの世話,14,-0.04,0.8909,4809,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔGlobalCDR,14,-0.051,0.8633,3051,0.9772
アパシーの変化(-1改善/0不変/+1悪化),ΔMoCA-J,6,-0.564,0.2441,23,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔMMSE合計,14,0.055,0.8521,2601,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔMMSE_時間見当識,14,0.397,0.1595,48,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔMMSE_場所見当識,14,0.08,0.7853,1220,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔMMSE_記銘,14,-0.283,0.3268,96,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔMMSE_注意計算,14,-0.205,0.4816,185,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔMMSE_遅延再生,14,-0.132,0.6539,452,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔMMSE_復唱,14,-0.192,0.5101,210,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔMMSE_図形模写,14,0.308,0.2845,81,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔCDR-SB,14,-0.164,0.576,291,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔCDR_記憶,14,-0.145,0.6216,373,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔCDR_見当識,14,-0.24,0.4082,134,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔCDR_判断力・問題解決,14,0.085,0.7729,1087,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔCDR_地域社会の活動,14,0.124,0.6727,508,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔCDR_家庭・趣味,14,0.019,0.9489,21975,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔCDR_身の回りの世話,14,-0.192,0.5101,210,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔGlobalCDR,14,-0.241,0.4057,133,0.9772
易怒性の変化(-1改善/0不変/+1悪化),ΔMoCA-J,6,0.47,0.3473,34,0.9772
