項目,上昇群n,上昇群,上昇群個別値,非上昇群n,非上昇群,非上昇群個別値,順位二列相関,U,p_未調整,到達可能な最小p,同順位に属する観測数,p,備考
MMSE 時間見当識,5,"-1［-3, 0］",-3、-1、-1、0、0,9,"-1［-1, 2］",-1、-1、-1、-1、-1、0、0、1、2,-0.244,17.0,0.5105,0.001,11,,
MMSE 場所見当識,5,"0［0, 2］",0、0、0、1、2,9,"0［-1, 1］",-1、0、0、0、0、0、0、0、1,0.378,31.0,0.2522,0.001,12,,
MMSE 物品呼称,,"0［0, 0］",,,"0［0, 0］",,,,,,,,両群とも全例同値のため検定不能
MMSE 記銘,5,"0［0, 1］",0、0、0、0、1,9,"0［0, 1］",0、0、0、0、0、0、0、0、1,0.089,24.5,1.0,0.001,14,,
MMSE 注意計算,5,"0［0, 3］",0、0、0、1、3,9,"0［-3, 1］",-3、-2、0、0、0、0、0、1、1,0.356,30.5,0.3087,0.001,11,,
MMSE 遅延再生,5,"0［-1, 0］",-1、-1、0、0、0,9,"0［-1, 0］",-1、-1、0、0、0、0、0、0、0,-0.178,18.5,0.5804,0.001,14,,
MMSE 復唱,5,"0［0, 0］",0、0、0、0、0,9,"0［0, 1］",0、0、0、0、0、0、0、0、1,-0.111,20.0,1.0,0.001,13,,
MMSE 読字理解,,"0［0, 0］",,,"0［0, 0］",,,,,,,,両群とも全例同値のため検定不能
MMSE 3段階命令,,"0［0, 0］",,,"0［0, 0］",,,,,,,,両群とも全例同値のため検定不能
MMSE 書字,,"0［0, 0］",,,"0［0, 0］",,,,,,,,両群とも全例同値のため検定不能
MMSE 図形模写,5,"0［0, 0］",0、0、0、0、0,9,"0［0, 1］",0、0、0、0、0、0、0、0、1,-0.111,20.0,1.0,0.001,13,,
CDR 記憶,5,"0［0, 0.5］",0、0、0、0.5、0.5,9,"0［0, 0.5］",0、0、0、0、0、0、0.5、0.5、0.5,0.067,24.0,1.0,0.001,14,,
CDR 見当識,5,"0.5［0, 0.5］",0、0、0.5、0.5、0.5,9,"0［0, 0.5］",0、0、0、0、0、0、0.5、0.5、0.5,0.267,28.5,0.5804,0.001,14,,
CDR 判断力・問題解決,5,"0［0, 0］",0、0、0、0、0,9,"0［0, 0.5］",0、0、0、0、0、0、0、0.5、0.5,-0.222,17.5,0.5055,0.001,14,,
CDR 地域社会の活動,5,"0［0, 0.5］",0、0、0、0、0.5,9,"0［0, 0.5］",0、0、0、0、0、0.5、0.5、0.5、0.5,-0.244,17.0,0.5804,0.001,14,,
CDR 家庭・趣味,5,"0［0, 1］",0、0、0、0.5、1,9,"0［0, 0.5］",0、0、0、0、0、0、0.5、0.5、0.5,0.133,25.5,0.7483,0.001,13,,
CDR 身の回りの世話,5,"0［0, 0］",0、0、0、0、0,9,"0［0, 1］",0、0、0、0、0、0、0、0、1,-0.111,20.0,1.0,0.001,13,,
