区分,項目,上昇群n,上昇群中央値[範囲],上昇群個別値,非上昇群n,非上昇群中央値[範囲],非上昇群個別値,検定,p,U,到達可能な最小p,同順位に属する観測数,順位二列相関
背景,年齢（歳）,5,"77［71, 82］",71、74、77、77、82,9,"75［68, 83］",68、69、72、74、75、75、76、81、83,,,,,,
背景,女性,5,4/5,,9,5/9,,Fisher正確確率検定（両側）,0.5804,,,,
背景,初回からの経過_月,3,"7.3［6.8, 17.5］",6.8、7.3、17.5,8,"11.9［6.2, 17.7］",6.2、6.8、7.9、11.9、11.9、12.4、17.4、17.7,,,,,,
NPI,初回スコア,5,"0［0, 2］",0、0、0、1、2,9,"0［0, 1］",0、0、0、0、0、0、0、1、1,Mann-Whitney U（完全並べ替え・両側）,0.4006,27.5,0.001,13,0.222
NPI,追跡時スコア,5,"2［1, 3］",1、1、2、3、3,9,"0［0, 0］",0、0、0、0、0、0、0、0、0,Mann-Whitney U（完全並べ替え・両側）,0.0005,45.0,0.001,13,1.0
NPI,ΔNPIアパシー,5,"1［1, 2］",1、1、1、2、2,9,"0［-1, 0］",-1、-1、0、0、0、0、0、0、0,Mann-Whitney U（完全並べ替え・両側）,0.0005,45.0,0.001,14,1.0
主要,MMSE合計 初回,5,"24［22, 28］",22、24、24、25、28,9,"25［22, 28］",22、22、23、24、25、25、25、27、28,,,,,,
主要,MMSE合計 追跡時,5,"25［22, 27］",22、24、25、26、27,9,"23［21, 29］",21、23、23、23、23、24、25、26、29,,,,,,
主要,MMSE合計 変化量,5,"0［-2, 3］",-2、-1、0、1、3,9,"0［-4, 3］",-4、-2、-2、-1、0、0、1、1、3,Mann-Whitney U（完全並べ替え・両側）,0.7253,26.0,0.001,13,0.156
主要,CDR-SB 初回,5,"1［0.5, 2.5］",0.5、1、1、2、2.5,9,"1.5［1, 2.5］",1、1、1.5、1.5、1.5、2、2、2、2.5,,,,,,
主要,CDR-SB 追跡時,5,"2［1, 4.5］",1、1.5、2、2.5、4.5,9,"2.5［1.5, 4.5］",1.5、1.5、1.5、2、2.5、3、3、4、4.5,,,,,,
主要,CDR-SB 変化量,5,"0.5［0, 2.5］",0、0.5、0.5、1、2.5,9,"1［0, 2］",0、0、0、0.5、1、1、2、2、2,Mann-Whitney U（完全並べ替え・両側）,1.0,22.5,0.001,13,0.0
参考,Global CDR 初回,5,"0.5［0.5, 0.5］",0.5、0.5、0.5、0.5、0.5,9,"0.5［0.5, 0.5］",0.5、0.5、0.5、0.5、0.5、0.5、0.5、0.5、0.5,,,,,,
参考,Global CDR 変化量,5,"0［0, 0.5］",0、0、0、0、0.5,9,"0［0, 0.5］",0、0、0、0、0、0、0、0.5、0.5,,,,,,
参考,MoCA-J 初回,3,"21［19, 23］",19、21、23,3,"21［17, 24］",17、21、24,,,,,,
参考,MoCA-J 変化量,3,"-2［-4, 1］",-4、-2、1,3,"1［0, 2］",0、1、2,,,,,,
