項目,n,t,p,備考,BH-FDR q
Δ MMSE合計（初回値で調整）,14,0.626,0.5495,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ MMSE 時間見当識（初回値で調整）,14,-1.04,0.3367,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ MMSE 場所見当識（初回値で調整）,14,1.22,0.2717,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ MMSE 物品呼称（初回値で調整）,14,,,推定不能,
Δ MMSE 記銘（初回値で調整）,14,0.546,0.6044,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ MMSE 注意計算（初回値で調整）,14,1.535,0.1663,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ MMSE 遅延再生（初回値で調整）,14,-0.645,0.6404,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ MMSE 復唱（初回値で調整）,14,-0.0,1.0,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,1.0
Δ MMSE 読字理解（初回値で調整）,14,,,推定不能,
Δ MMSE 3段階命令（初回値で調整）,14,,,推定不能,
Δ MMSE 書字（初回値で調整）,14,,,推定不能,
Δ MMSE 図形模写（初回値で調整）,14,-1.811,0.6429,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ CDR-SB（初回値で調整）,14,0.053,0.969,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,1.0
Δ CDR 記憶（初回値で調整）,14,,,推定不能,
Δ CDR 見当識（初回値で調整）,14,0.724,0.5305,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ CDR 判断力・問題解決（初回値で調整）,14,-0.886,0.5504,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ CDR 地域社会の活動（初回値で調整）,14,-0.826,0.4945,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ CDR 家庭・趣味（初回値で調整）,14,0.966,0.4603,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
Δ CDR 身の回りの世話（初回値で調整）,14,,,推定不能,
Δ MoCA-J（初回値で調整）,6,-1.481,0.2215,並べ替えANCOVA（群係数のt値を並べ替え分布と比較）,0.75
