family,候補数,p<0.05,最小p
A_初回値,18,0,0.10989010989010989
B_追跡時値,16,0,0.11988011988011989
C_変化量,17,0,0.25224775224775225
D_年換算変化量,17,1,0.04242424242424243
E_合成指標,17,0,0.25824175824175827
F_相対変化,3,0,0.2
G_背景・観察条件,4,0,0.5344655344655345
H_2値（悪化の有無）,15,0,0.4
I_2値（改善の有無）,8,0,0.5054945054945055
J_2値（不変）,18,0,0.5054945054945055
K_2値（背景）,6,0,0.5054945054945055
L_固定時点(12か月),34,0,0.08333333333333333
L_固定時点(18か月),32,0,0.3
L_固定時点(24か月),17,0,1.0
L_固定時点(6か月),25,0,0.24075924075924077
M2_下位項目の差,95,0,0.10789210789210789
M_CDR部分集合(k=2),39,0,0.10989010989010989
M_CDR部分集合(k=3),45,0,0.2627372627372627
M_CDR部分集合(k=4),35,0,0.2852147852147852
M_CDR部分集合(k=5),12,0,0.42957042957042957
M_MMSE部分集合(k=10),16,0,0.14085914085914086
M_MMSE部分集合(k=2),89,0,0.08791208791208792
M_MMSE部分集合(k=3),232,0,0.06343656343656344
M_MMSE部分集合(k=4),363,1,0.04945054945054945
M_MMSE部分集合(k=5),413,0,0.0924075924075924
M_MMSE部分集合(k=6),363,0,0.1018981018981019
M_MMSE部分集合(k=7),255,0,0.1018981018981019
M_MMSE部分集合(k=8),144,0,0.1018981018981019
M_MMSE部分集合(k=9),60,0,0.1018981018981019
N_全切点2値化,60,0,0.10989010989010989
O_月あたり変化量,16,1,0.04242424242424243
P_方向の組合せ,6,0,0.5054945054945055
R_初回値調整残差,12,0,0.14835164835164835
