最小pの値,割り当て数,割合
0.0005,67,0.03347
0.001,14,0.00699
0.0015,41,0.02048
0.002,44,0.02198
0.00216,3,0.0015
0.0025,59,0.02947
0.003,148,0.07393
0.00303,4,0.002
0.0035,29,0.01449
0.004,29,0.01449
0.00433,2,0.001
0.0045,43,0.02148
0.005,106,0.05295
0.00549,8,0.004
0.00599,32,0.01598
0.00606,12,0.00599
0.00649,27,0.01349
0.00699,22,0.01099
0.00749,53,0.02647
0.00794,6,0.003
0.00799,71,0.03546
0.00849,10,0.005
0.00899,18,0.00899
0.00909,6,0.003
0.00949,5,0.0025
0.00999,16,0.00799
0.01049,45,0.02248
0.01082,3,0.0015
0.01099,17,0.00849
0.01149,2,0.001
0.0119,23,0.01149
0.01199,6,0.003
0.01212,12,0.00599
0.01249,38,0.01898
0.01299,43,0.02148
0.01349,5,0.0025
0.01399,46,0.02298
0.01449,39,0.01948
0.01499,35,0.01748
0.01515,10,0.005
0.01548,19,0.00949
0.01587,2,0.001
0.01598,10,0.005
0.01648,19,0.00949
0.01698,15,0.00749
0.01748,14,0.00699
0.01798,56,0.02797
0.01818,7,0.0035
0.01848,31,0.01548
0.01898,3,0.0015
0.01948,6,0.003
0.01998,13,0.00649
0.02048,50,0.02498
0.02098,13,0.00649
0.02121,2,0.001
0.02198,10,0.005
0.02248,2,0.001
0.02298,50,0.02498
0.02381,9,0.0045
0.02398,3,0.0015
0.02424,9,0.0045
0.02448,1,0.0005
0.02498,2,0.001
0.02547,3,0.0015
0.02597,9,0.0045
0.02647,2,0.001
0.02697,1,0.0005
0.02727,3,0.0015
0.02747,71,0.03546
0.02778,8,0.004
0.02797,6,0.003
0.02847,11,0.00549
0.02897,5,0.0025
0.02997,14,0.00699
0.0303,2,0.001
0.03047,4,0.002
0.03097,85,0.04246
0.03147,2,0.001
0.03175,1,0.0005
0.03197,11,0.00549
0.03297,4,0.002
0.03333,1,0.0005
0.03347,3,0.0015
0.03397,4,0.002
0.03447,3,0.0015
0.03497,11,0.00549
0.03546,3,0.0015
0.03596,4,0.002
0.03636,1,0.0005
0.03646,3,0.0015
0.0368,2,0.001
0.03696,3,0.0015
0.03746,2,0.001
0.03796,1,0.0005
0.03846,2,0.001
0.03896,2,0.001
0.03968,5,0.0025
0.03996,3,0.0015
0.04096,1,0.0005
0.04242,10,0.005
0.04296,6,0.003
0.04396,1,0.0005
0.04496,3,0.0015
0.04545,7,0.0035
0.04595,1,0.0005
0.04695,4,0.002
0.04745,1,0.0005
0.04762,21,0.01049
0.04795,1,0.0005
0.04845,1,0.0005
0.04848,3,0.0015
0.04945,1,0.0005
0.04995,6,0.003
0.05045,2,0.001
0.05145,5,0.0025
0.05195,1,0.0005
0.05245,1,0.0005
0.05295,8,0.004
0.05455,2,0.001
0.05495,3,0.0015
0.05544,10,0.005
0.05694,1,0.0005
0.05744,4,0.002
0.05794,1,0.0005
0.05944,1,0.0005
0.05994,8,0.004
0.06044,7,0.0035
0.06061,1,0.0005
0.06194,3,0.0015
0.06543,6,0.003
0.06667,9,0.0045
0.06793,3,0.0015
0.06843,1,0.0005
0.06893,2,0.001
0.07093,1,0.0005
0.07243,1,0.0005
0.07293,1,0.0005
0.07542,1,0.0005
0.07937,1,0.0005
0.07942,1,0.0005
0.08242,5,0.0025
0.08333,2,0.001
0.08591,2,0.001
0.12787,1,0.0005
