family,項目,検定,上昇群n,非上昇群n,上昇群,非上昇群,上昇群の値,非上昇群の値,U,p,順位二列相関,P(上昇群>非上昇群),80%検出力に要する総例数,同順位に属する観測数,到達可能な最小p,備考,BH-FDR q,WY調整p（単一段階）,同一結果の別名
D_年換算変化量,Δ MMSE 時間見当識／年,MWU（完全並べ替え）,3,8,"-1.7647［-2.0571, -1.6438］","-0.84905［-1.9355, 3.5294］",-2.0571、-1.7647、-1.6438,-1.9355、-1.519、-1.0084、-1.0084、-0.6897、0、0、3.5294,2.0,0.04242424242424243,-0.833,0.083,16,4,0.00216,,1.0,0.9246,
O_月あたり変化量,Δ MMSE 時間見当識／月,MWU（完全並べ替え）,3,8,"-0.14706［-0.17143, -0.13699］","-0.07075［-0.16129, 0.29412］",-0.17143、-0.14706、-0.13699,-0.16129、-0.12658、-0.08403、-0.08403、-0.05747、0、0、0.29412,2.0,0.04242424242424243,-0.833,0.083,16,4,0.00216,,1.0,0.9246,
M_MMSE部分集合(k=4),Δ MMSE［場所見当識＋記銘＋注意計算＋図形模写］,MWU（完全並べ替え）,5,9,"1［0, 3］","0［-3, 2］",0、1、1、3、3,-3、-1、-1、0、0、0、1、1、2,36.5,0.04945054945054945,0.622,0.811,28,12,0.00599,,1.0,0.9496,Δ MMSE［場所見当識＋物品呼称＋記銘＋注意計算＋図形模写］ ほか14件
M_MMSE部分集合(k=3),Δ MMSE［場所見当識＋記銘＋注意計算］,MWU（完全並べ替え）,5,9,"1［0, 3］","0［-3, 2］",0、1、1、3、3,-3、-2、-1、0、0、0、1、1、2,36.5,0.06343656343656344,0.622,0.811,28,10,0.00599,,1.0,0.9815,Δ MMSE［場所見当識＋物品呼称＋記銘＋注意計算］ ほか14件
L_固定時点(12か月),12か月 ΔMMSE 場所見当識,MWU（完全並べ替え）,3,6,"1［0, 2］","0［0, 0］",0、1、2,0、0、0、0、0、0,15.0,0.08333333333333333,0.667,0.833,24,7,0.02778,,1.0,0.9985,
M_MMSE部分集合(k=2),Δ MMSE［場所見当識＋注意計算］,MWU（完全並べ替え）,5,9,"1［0, 3］","0［-3, 2］",0、0、1、3、3,-3、-2、-1、0、0、0、0、1、2,35.5,0.08791208791208792,0.578,0.789,32,10,0.0005,,1.0,0.9995,Δ MMSE［場所見当識＋物品呼称＋注意計算］ ほか14件
M_MMSE部分集合(k=3),Δ MMSE［場所見当識＋注意計算＋図形模写］,MWU（完全並べ替え）,5,9,"1［0, 3］","0［-3, 2］",0、0、1、3、3,-3、-1、-1、0、0、0、0、1、2,35.5,0.08841158841158842,0.578,0.789,32,12,0.0005,,1.0,0.9995,Δ MMSE［場所見当識＋物品呼称＋注意計算＋図形模写］ ほか14件
M_MMSE部分集合(k=5),Δ MMSE［場所見当識＋記銘＋注意計算＋復唱＋図形模写］,MWU（完全並べ替え）,5,9,"1［0, 3］","0［-3, 2］",0、1、1、3、3,-3、-1、-1、0、0、1、1、1、2,35.0,0.0924075924075924,0.556,0.778,34,12,0.0015,,1.0,0.9995,Δ MMSE［場所見当識＋物品呼称＋記銘＋注意計算＋復唱＋図形模写］ ほか14件
M_MMSE部分集合(k=4),Δ MMSE［場所見当識＋記銘＋注意計算＋復唱］,MWU（完全並べ替え）,5,9,"1［0, 3］","0［-3, 2］",0、1、1、3、3,-3、-2、-1、0、0、1、1、1、2,35.0,0.0939060939060939,0.556,0.778,34,10,0.0015,,1.0,0.9995,Δ MMSE［場所見当識＋物品呼称＋記銘＋注意計算＋復唱］ ほか14件
M_MMSE部分集合(k=4),追跡時 MMSE［場所見当識＋注意計算＋復唱＋3段階命令］,MWU（完全並べ替え）,5,9,"14［12, 14］","12［9, 14］",12、13、14、14、14,9、12、12、12、12、13、13、13、14,35.0,0.1018981018981019,0.556,0.778,34,13,0.002,,1.0,0.9995,
M_MMSE部分集合(k=5),追跡時 MMSE［場所見当識＋注意計算＋復唱＋読字理解＋3段階命令］,MWU（完全並べ替え）,5,9,"15［13, 15］","13［10, 15］",13、14、15、15、15,10、13、13、13、13、14、14、14、15,35.0,0.1018981018981019,0.556,0.778,34,13,0.002,,1.0,0.9995,追跡時 MMSE［場所見当識＋注意計算＋復唱＋3段階命令＋書字］、追跡時 MMSE［場所見当識＋注意計算＋復唱＋3段階命令＋図形模写］
