項目,低下例,非低下例,低下例の値,非低下例の値,低下例n,非低下例n,p
年齢（歳）,78.0±4.2,74.8±4.6,75、81,68、69、71、72、74、74、75、76、77、77、82、83,2,12,0.4835
観察期間（月）,6.8,11.7±4.6,6.8,6.2、6.8、7.3、7.9、11.9、11.9、12.4、17.4、17.5、17.7,1,10,0.4545
初回 NPI-Apathy score,1.0±0.0,0.2±0.6,1、1,0、0、0、0、0、0、0、0、0、0、1、2,2,12,0.0659
追跡時 NPI-Apathy score,0.0±0.0,0.8±1.2,0、0,0、0、0、0、0、0、0、1、1、2、3、3,2,12,0.5055
初回 MMSE合計,22.5±0.7,24.9±2.0,23、22,22、22、24、24、24、25、25、25、25、27、28、28,2,12,0.0989
追跡時 MMSE合計,24.0±1.4,24.4±2.3,23、25,21、22、23、23、23、24、24、25、26、26、27、29,2,12,0.967
Δ MMSE合計,1.5±2.1,-0.5±1.9,0、3,-4、-2、-2、-2、-1、-1、0、0、1、1、1、3,2,12,0.3297
初回 CDR-SB,1.8±0.4,1.5±0.7,2、1.5,0.5、1、1、1、1、1.5、1.5、2、2、2、2.5、2.5,2,12,0.6813
追跡時 CDR-SB,2.8±1.8,2.5±1.1,4、1.5,1、1.5、1.5、1.5、2、2、2.5、2.5、3、3、4.5、4.5,2,12,0.956
Δ CDR-SB,1.0±1.4,0.9±0.8,2、0,0、0、0、0.5、0.5、0.5、1、1、1、2、2、2.5,2,12,0.9011
初回 MMSE 時間見当識,2.0±0.0,4.2±1.0,2、2,3、3、3、3、4、5、5、5、5、5、5、5,2,12,0.011
追跡時 MMSE 時間見当識,3.5±0.7,3.4±1.5,3、4,0、2、2、3、3、4、4、4、4、5、5、5,2,12,0.9341
Δ MMSE 時間見当識,1.5±0.7,-0.8±0.8,1、2,-3、-1、-1、-1、-1、-1、-1、-1、0、0、0、0,2,12,0.011
Δ MMSE 場所見当識,0.5±0.7,0.2±0.7,0、1,-1、0、0、0、0、0、0、0、0、0、1、2,2,12,0.4725
Δ MMSE 物品呼称,0.0±0.0,0.0±0.0,0、0,0、0、0、0、0、0、0、0、0、0、0、0,2,12,
Δ MMSE 記銘,0.0±0.0,0.2±0.4,0、0,0、0、0、0、0、0、0、0、0、0、1、1,2,12,1.0
Δ MMSE 注意計算,-0.5±2.1,0.2±1.3,-2、1,-3、0、0、0、0、0、0、0、0、1、1、3,2,12,0.989
Δ MMSE 遅延再生,-0.5±0.7,-0.2±0.5,0、-1,-1、-1、-1、0、0、0、0、0、0、0、0、0,2,12,1.0
Δ MMSE 復唱,0.0±0.0,0.1±0.3,0、0,0、0、0、0、0、0、0、0、0、0、0、1,2,12,1.0
Δ MMSE 読字理解,0.0±0.0,0.0±0.0,0、0,0、0、0、0、0、0、0、0、0、0、0、0,2,12,
Δ MMSE 3段階命令,0.0±0.0,0.0±0.0,0、0,0、0、0、0、0、0、0、0、0、0、0、0,2,12,
Δ MMSE 書字,0.0±0.0,0.0±0.0,0、0,0、0、0、0、0、0、0、0、0、0、0、0,2,12,
Δ MMSE 図形模写,0.5±0.7,0.0±0.0,1、0,0、0、0、0、0、0、0、0、0、0、0、0,2,12,0.1429
Δ CDR 記憶,0.2±0.4,0.2±0.2,0.5、0,0、0、0、0、0、0、0、0、0.5、0.5、0.5、0.5,2,12,1.0
Δ CDR 見当識,0.0±0.0,0.2±0.3,0、0,0、0、0、0、0、0、0.5、0.5、0.5、0.5、0.5、0.5,2,12,0.4725
Δ CDR 判断力・問題解決,0.2±0.4,0.0±0.1,0.5、0,0、0、0、0、0、0、0、0、0、0、0、0.5,2,12,0.2747
Δ CDR 地域社会の活動,0.2±0.4,0.2±0.2,0.5、0,0、0、0、0、0、0、0、0、0.5、0.5、0.5、0.5,2,12,1.0
Δ CDR 家庭・趣味,0.2±0.4,0.2±0.3,0.5、0,0、0、0、0、0、0、0、0、0.5、0.5、0.5、1,2,12,1.0
Δ CDR 身の回りの世話,0.0±0.0,0.1±0.3,0、0,0、0、0、0、0、0、0、0、0、0、0、1,2,12,1.0
