項目区分,項目,N(対応ペア),欠測数(全33例中),N(0か月のみ利用可),N(18か月のみ利用可),0か月_中央値,0か月_IQR,18か月_中央値,18か月_IQR,選択した検定,p値(未補正),中央値差分,効果量(rank-biserial r),変化ありの例数,増加例数,減少例数,p値(Holm補正後),有意(補正後 p<0.05)
MMSE下位項目,時間見当識,31,2,33,31,3.0,3.00-5.00,4.0,2.00-4.00,Wilcoxon signed-rank,0.10887387925139587,0.0,-0.4,20,6,14,0.870991034011167,False
MMSE下位項目,場所見当識,31,2,33,31,4.0,4.00-5.00,4.0,4.00-5.00,Wilcoxon signed-rank,0.3005639782674695,0.0,-0.3047619047619048,14,5,9,1.0,False
MMSE下位項目,物品呼称,31,2,33,31,2.0,2.00-2.00,2.0,2.00-2.00,Wilcoxon signed-rank,0.31731050786291415,0.0,-1.0,1,0,1,1.0,False
MMSE下位項目,記銘,31,2,33,31,3.0,3.00-3.00,3.0,3.00-3.00,Wilcoxon signed-rank,0.31731050786291415,0.0,1.0,1,1,0,1.0,False
MMSE下位項目,注意計算,31,2,33,31,4.0,3.00-5.00,4.0,3.00-5.00,Wilcoxon signed-rank,0.8501614862398781,0.0,-0.043333333333333335,24,14,10,1.0,False
MMSE下位項目,遅延再生,31,2,33,31,0.0,0.00-1.00,0.0,0.00-1.00,Wilcoxon signed-rank,0.02083804410414714,0.0,-0.7032967032967034,13,3,10,0.28191452170484876,False
MMSE下位項目,復唱,31,2,33,31,1.0,1.00-1.00,1.0,1.00-1.00,Wilcoxon signed-rank,0.0832645166635504,0.0,-1.0,3,0,3,0.832645166635504,False
MMSE下位項目,読字理解,31,2,33,31,1.0,1.00-1.00,1.0,1.00-1.00,Wilcoxon signed-rank（全例差分0のため検定不能）,,0.0,,0,0,0,,False
MMSE下位項目,3段階命令,31,2,33,31,3.0,3.00-3.00,3.0,3.00-3.00,Wilcoxon signed-rank,0.05366539182616073,0.0,0.7857142857142857,7,6,1,0.5903193100877681,False
MMSE下位項目,書字,31,2,33,31,1.0,1.00-1.00,1.0,1.00-1.00,Wilcoxon signed-rank,0.15729920705028502,0.0,-1.0,2,0,2,1.0,False
MMSE下位項目,図形模写,31,2,33,31,1.0,1.00-1.00,1.0,1.00-1.00,Wilcoxon signed-rank,0.31731050786291415,0.0,-0.5,4,1,3,1.0,False
CDR下位領域,記憶,27,6,30,30,0.5,0.50-0.50,0.5,0.50-1.00,Wilcoxon signed-rank,0.0013406411172294783,0.0,1.0,11,11,0,0.023426640824885575,True
CDR下位領域,見当識,27,6,30,30,0.5,0.50-0.50,0.5,0.50-1.00,Wilcoxon signed-rank,0.0022819372533154484,0.0,0.8461538461538461,13,12,1,0.036510996053047175,True
CDR下位領域,判断力・問題解決,27,6,30,30,0.5,0.50-0.50,0.5,0.50-1.00,Wilcoxon signed-rank,0.02013675155034634,0.0,0.6923076923076923,12,10,2,0.28191452170484876,False
CDR下位領域,地域社会の活動,27,6,30,30,0.5,0.00-0.50,0.5,0.50-1.00,Wilcoxon signed-rank,0.0004755181373807946,0.5,1.0,14,14,0,0.009034844610235097,True
CDR下位領域,家庭・趣味,27,6,30,30,0.0,0.00-0.50,0.5,0.50-0.75,Wilcoxon signed-rank,0.0013014800458269764,0.5,0.9,15,14,1,0.023426640824885575,True
CDR下位領域,身の回りの世話,27,6,30,30,0.0,0.00-0.00,0.0,0.00-0.00,Wilcoxon signed-rank,0.023140931308743732,0.0,1.0,6,6,0,0.28191452170484876,False
