検定区分,項目,p値(未補正),p値(Holm補正後),有意(補正後 p<0.05)
主要評価項目,MMSE合計,0.35804088236523435,1.0,False
主要評価項目,CDR-SB,2.4864570157967623e-05,0.0004972914031593524,True
主要評価項目,Global CDR,0.00829921599528076,0.12448823992921139,False
主要評価項目,MoCA-J合計,0.09545820868983736,0.8591238782085362,False
下位項目(探索的),MMSE:時間見当識,0.10887387925139587,0.870991034011167,False
下位項目(探索的),MMSE:場所見当識,0.3005639782674695,1.0,False
下位項目(探索的),MMSE:物品呼称,0.31731050786291415,1.0,False
下位項目(探索的),MMSE:記銘,0.31731050786291415,1.0,False
下位項目(探索的),MMSE:注意計算,0.8501614862398781,1.0,False
下位項目(探索的),MMSE:遅延再生,0.02083804410414714,0.28191452170484876,False
下位項目(探索的),MMSE:復唱,0.0832645166635504,0.832645166635504,False
下位項目(探索的),MMSE:読字理解,,,False
下位項目(探索的),MMSE:3段階命令,0.05366539182616073,0.5903193100877681,False
下位項目(探索的),MMSE:書字,0.15729920705028502,1.0,False
下位項目(探索的),MMSE:図形模写,0.31731050786291415,1.0,False
下位項目(探索的),CDR:記憶,0.0013406411172294783,0.023426640824885575,True
下位項目(探索的),CDR:見当識,0.0022819372533154484,0.036510996053047175,True
下位項目(探索的),CDR:判断力・問題解決,0.02013675155034634,0.28191452170484876,False
下位項目(探索的),CDR:地域社会の活動,0.0004755181373807946,0.009034844610235097,True
下位項目(探索的),CDR:家庭・趣味,0.0013014800458269764,0.023426640824885575,True
下位項目(探索的),CDR:身の回りの世話,0.023140931308743732,0.28191452170484876,False
