Phase,変数A(ベースライン),変数B(Δ),関係性,N,統計量,p値,検定,低分散注意,q値(BH-FDR)
B: ベースライン→Δ,MMSE合計,MMSE合計,自己(回帰効果に注意),31,-0.5263184802232934,0.0023548279713720968,Spearman相関,,0.04952314864709132
B: ベースライン→Δ,MMSE合計,CDR-SB,独立した組み合わせ,27,0.22375687565684585,0.261880457609668,Spearman相関,,0.7112974710938381
B: ベースライン→Δ,MMSE合計,Global CDR,独立した組み合わせ,27,0.09981082913146705,0.6203663206294074,Spearman相関,,0.8783421414594189
B: ベースライン→Δ,MMSE合計,MoCA-J合計,独立した組み合わせ,25,-0.21692576656820267,0.2976121177191817,Spearman相関,,0.7394086359077641
B: ベースライン→Δ,MMSE合計,MMSE:時間見当識,構造的(部分-全体),31,-0.3647684425842252,0.04363240279149006,Spearman相関,,0.31920991262755216
B: ベースライン→Δ,MMSE合計,MMSE:場所見当識,構造的(部分-全体),31,-0.41337248731407006,0.02080803771834815,Spearman相関,,0.21392122987635115
B: ベースライン→Δ,MMSE合計,MMSE:物品呼称,構造的(部分-全体),31,0.20907229351176498,0.25899960281082773,Spearman相関,低分散注意: B非モーダル数=1,0.7112974710938381
B: ベースライン→Δ,MMSE合計,MMSE:記銘,構造的(部分-全体),31,0.03136084402676474,0.8669960994817685,Spearman相関,低分散注意: B非モーダル数=1,0.9059577088557726
B: ベースライン→Δ,MMSE合計,MMSE:注意計算,構造的(部分-全体),31,-0.30326157475998194,0.09723292799755585,Spearman相関,,0.4350731191289212
B: ベースライン→Δ,MMSE合計,MMSE:遅延再生,構造的(部分-全体),31,-0.4134368255743919,0.020786208687834533,Spearman相関,,0.21392122987635115
B: ベースライン→Δ,MMSE合計,MMSE:復唱,構造的(部分-全体),31,0.01249445933122095,0.9468126527766789,Spearman相関,低分散注意: B非モーダル数=3,0.9682935681101812
B: ベースライン→Δ,MMSE合計,MMSE:読字理解,構造的(部分-全体),31,,,Spearman相関,低分散注意: B非モーダル数=0,
B: ベースライン→Δ,MMSE合計,MMSE:3段階命令,構造的(部分-全体),31,-0.19719402503757416,0.28764778534644014,Spearman相関,,0.7203487274060424
B: ベースライン→Δ,MMSE合計,MMSE:書字,構造的(部分-全体),31,0.1278091774227469,0.4932261915415817,Spearman相関,低分散注意: B非モーダル数=2,0.8325918948885798
B: ベースライン→Δ,MMSE合計,MMSE:図形模写,構造的(部分-全体),31,-0.1994081667151655,0.2821600371554159,Spearman相関,低分散注意: B非モーダル数=4,0.720130944121923
B: ベースライン→Δ,MMSE合計,CDR:記憶,独立した組み合わせ,27,0.04920857775459985,0.8074294572008647,Spearman相関,,0.9059577088557726
