検定,除外症例,除外後交互作用係数,除外後p値
記憶 × 意欲低下,L1,0.01693629475626244,0.0006472817167451608
記憶 × 意欲低下,L2,0.01693629475626244,0.0006472817167451637
記憶 × 意欲低下,L3,0.018285829994587555,0.0001607587930282405
記憶 × 意欲低下,L4,0.016598765678866034,0.0010377873790816676
記憶 × 意欲低下,L5,0.016957422034247185,0.0005729345265148915
記憶 × 意欲低下,L6,0.016598765678866038,0.0010377873790816652
記憶 × 意欲低下,L7,0.01693629475626244,0.0006472817167451621
記憶 × 意欲低下,L8,0.01819369713510236,0.00014855648563277774
記憶 × 意欲低下,L9,0.01693629475626244,0.0006472817167451621
記憶 × 意欲低下,L10,0.020089475806562198,4.2792221877260576e-05
記憶 × 意欲低下,L11,0.018258423788636,0.00016470020393062672
記憶 × 意欲低下,L12,0.01659876567886603,0.0010377873790816676
記憶 × 意欲低下,L13,0.01693629475626244,0.0006472817167451608
記憶 × 意欲低下,L14,0.016874621571503663,0.0006797366430551706
記憶 × 意欲低下,L15,0.01693629475626244,0.0006472817167451608
記憶 × 意欲低下,L16,0.01693629475626244,0.0006472817167451608
記憶 × 意欲低下,L17,0.01844872866660559,0.00014093611607644528
記憶 × 意欲低下,L18,0.01831795430137757,0.0001557645471494915
記憶 × 意欲低下,L19,0.017399232824076565,0.0004008805856907031
記憶 × 意欲低下,L20,0.014800940328845763,0.001707425753024787
記憶 × 意欲低下,L21,0.017536586967719144,0.0005077066569276894
記憶 × 意欲低下,L22,0.01659876567886603,0.0010377873790816676
記憶 × 意欲低下,L23,0.01693629475626244,0.0006472817167451637
記憶 × 意欲低下,L24,0.01693629475626244,0.0006472817167451637
記憶 × 意欲低下,L25,0.018395452924133946,0.00018991090998501776
記憶 × 意欲低下,L26,0.01693629475626244,0.0006472817167451621
記憶 × 意欲低下,L27,0.01753658696771914,0.0005077066569276916
記憶 × 意欲低下,L28,0.016936294756262443,0.0006472817167451608
記憶 × 意欲低下,L29,0.016917129144419275,0.0005852114817840522
記憶 × 意欲低下,L30,0.019548605222463232,4.841461797984221e-06
記憶 × 意欲低下,L31,0.01693629475626244,0.0006472817167451621
記憶 × 意欲低下,L32,0.020521081313903695,3.674145907512682e-05
記憶 × 意欲低下,L33,0.01693629475626244,0.0006472817167451621
家庭・趣味 × 意欲低下,L1,0.01540083789976615,0.022239326364659317
家庭・趣味 × 意欲低下,L2,0.018079226662860236,0.009056389375999981
家庭・趣味 × 意欲低下,L3,0.016741007192707744,0.01644064620224236
家庭・趣味 × 意欲低下,L4,0.018127036294851462,0.011204909454884886
家庭・趣味 × 意欲低下,L5,0.01528219475991859,0.025763028833351197
家庭・趣味 × 意欲低下,L6,0.015067336906810686,0.02931490507563908
家庭・趣味 × 意欲低下,L7,0.018079226662860236,0.009056389376000014
家庭・趣味 × 意欲低下,L8,0.016225781247335386,0.015915114093200317
家庭・趣味 × 意欲低下,L9,0.01674100719270774,0.016440646202242382
家庭・趣味 × 意欲低下,L10,0.01771396618287422,0.012581418409622937
家庭・趣味 × 意欲低下,L11,0.018048764889152573,0.009162753450085557
家庭・趣味 × 意欲低下,L12,0.014241571840617168,0.04284886580609421
家庭・趣味 × 意欲低下,L13,0.01807922666286024,0.009056389375999981
家庭・趣味 × 意欲低下,L14,0.02161144758999404,0.0002549632761180984
家庭・趣味 × 意欲低下,L15,0.016728374771152174,0.016532880059088203
家庭・趣味 × 意欲低下,L16,0.016741007192707744,0.01644064620224236
家庭・趣味 × 意欲低下,L17,0.016759621903184665,0.015688425656963594
家庭・趣味 × 意欲低下,L18,0.018143800958444662,0.008471824230737385
家庭・趣味 × 意欲低下,L19,0.01818072651777634,0.007947108754669339
家庭・趣味 × 意欲低下,L20,0.017210432954457216,0.013515158186220448
家庭・趣味 × 意欲低下,L21,0.01812703629485147,0.0112049094548849
家庭・趣味 × 意欲低下,L22,0.021027889005094436,0.002910058791042811
家庭・趣味 × 意欲低下,L23,0.016728374771152174,0.01653288005908824
家庭・趣味 × 意欲低下,L24,0.016741007192707748,0.016440646202242355
家庭・趣味 × 意欲低下,L25,0.018438302277593695,0.007997293457545494
家庭・趣味 × 意欲低下,L26,0.016728374771152174,0.01653288005908824
家庭・趣味 × 意欲低下,L27,0.01420613609140748,0.043378681282325506
家庭・趣味 × 意欲低下,L28,0.018523409453730363,0.007330752529402781
家庭・趣味 × 意欲低下,L29,0.01880006192858788,0.006868296983381862
家庭・趣味 × 意欲低下,L30,0.016698376710594754,0.016694150154546474
家庭・趣味 × 意欲低下,L31,0.018523409453730363,0.007330752529402781
家庭・趣味 × 意欲低下,L32,0.021027889005094426,0.002910058791042818
家庭・趣味 × 意欲低下,L33,0.01674100719270774,0.01644064620224236
