Phase,変数B(Δ),群構成,N,統計量(U),効果量r,p値,検定,低分散注意,q値(BH-FDR)
C: 精神症状×Δ,MMSE合計,あり(N=13) vs なし(N=18),31,101.0,0.1367521367521367,0.5322318129375021,Mann-Whitney U,,0.8521525748125034
C: 精神症状×Δ,CDR-SB,あり(N=11) vs なし(N=16),27,103.0,-0.17045454545454541,0.46984681643189263,Mann-Whitney U,,0.8232507499347392
C: 精神症状×Δ,Global CDR,あり(N=11) vs なし(N=16),27,94.0,-0.06818181818181812,0.7346211589697345,Mann-Whitney U,,0.9059577088557726
C: 精神症状×Δ,MoCA-J合計,あり(N=12) vs なし(N=13),25,66.5,0.14743589743589747,0.5472272217273302,Mann-Whitney U,,0.8551992424450191
C: 精神症状×Δ,MMSE:時間見当識,あり(N=13) vs なし(N=18),31,78.0,0.33333333333333337,0.11104953657831312,Mann-Whitney U,,0.48563454055889177
C: 精神症状×Δ,MMSE:場所見当識,あり(N=13) vs なし(N=18),31,138.0,-0.17948717948717952,0.36724685166544113,Mann-Whitney U,,0.7912009377792224
C: 精神症状×Δ,MMSE:物品呼称,あり(N=13) vs なし(N=18),31,123.5,-0.05555555555555558,0.43276758066778476,Mann-Whitney U,低分散注意: 非モーダル数=1,0.8232507499347392
C: 精神症状×Δ,MMSE:記銘,あり(N=13) vs なし(N=18),31,110.5,0.05555555555555558,0.43276758066778476,Mann-Whitney U,低分散注意: 非モーダル数=1,0.8232507499347392
C: 精神症状×Δ,MMSE:注意計算,あり(N=13) vs なし(N=18),31,125.5,-0.07264957264957261,0.7425815252362041,Mann-Whitney U,,0.9059577088557726
C: 精神症状×Δ,MMSE:遅延再生,あり(N=13) vs なし(N=18),31,127.5,-0.08974358974358965,0.6536041698686692,Mann-Whitney U,,0.8928019663007929
C: 精神症状×Δ,MMSE:復唱,あり(N=13) vs なし(N=18),31,121.0,-0.03418803418803429,0.7844912702610307,Mann-Whitney U,低分散注意: 非モーダル数=3,0.9059577088557726
C: 精神症状×Δ,MMSE:読字理解,,31,,,,Mann-Whitney U,低分散注意: 非モーダル数=0,
C: 精神症状×Δ,MMSE:3段階命令,あり(N=13) vs なし(N=18),31,100.0,0.14529914529914534,0.36617075802320864,Mann-Whitney U,,0.7912009377792224
C: 精神症状×Δ,MMSE:書字,あり(N=13) vs なし(N=18),31,114.5,0.021367521367521403,0.8508288493154299,Mann-Whitney U,低分散注意: 非モーダル数=2,0.9059577088557726
C: 精神症状×Δ,MMSE:図形模写,あり(N=13) vs なし(N=18),31,114.0,0.02564102564102566,0.8634669603402242,Mann-Whitney U,低分散注意: 非モーダル数=4,0.9059577088557726
C: 精神症状×Δ,CDR:記憶,あり(N=11) vs なし(N=16),27,105.5,-0.19886363636363646,0.33014038402555046,Mann-Whitney U,,0.7583787056172921
C: 精神症状×Δ,CDR:見当識,あり(N=11) vs なし(N=16),27,98.0,-0.11363636363636354,0.5940891092688589,Mann-Whitney U,,0.8691645156204466
C: 精神症状×Δ,CDR:判断力・問題解決,あり(N=11) vs なし(N=16),27,83.5,0.051136363636363646,0.824486679600512,Mann-Whitney U,,0.9059577088557726
C: 精神症状×Δ,CDR:地域社会の活動,あり(N=11) vs なし(N=16),27,95.0,-0.07954545454545459,0.7232639312812787,Mann-Whitney U,,0.9059577088557726
C: 精神症状×Δ,CDR:家庭・趣味,あり(N=11) vs なし(N=16),27,106.5,-0.2102272727272727,0.33847133099758187,Mann-Whitney U,,0.7599394634658351
C: 精神症状×Δ,CDR:身の回りの世話,あり(N=11) vs なし(N=16),27,83.0,0.05681818181818177,0.7595919002642851,Mann-Whitney U,,0.9059577088557726
