MMSE下位項目,記憶関連項目(事前分類),N(観測数),N(症例数),N(意欲低下あり症例),N(追跡中に値が変化した症例),低分散注意,交互作用項係数(time×意欲低下),p値,収束,q値(BH-FDR)
時間見当識,False,127,33,12,30,False,-0.0536549266102089,0.04553845557632416,True,0.4553845557632416
場所見当識,False,127,33,12,25,False,0.0072371657466482955,0.6695448030510558,True,0.8153467470971391
物品呼称,False,127,33,12,1,True,0.0032104435308659956,0.43086204007585227,True,0.8153467470971391
記銘,True,127,33,12,1,True,-0.0023735218924214366,0.3338347658476094,True,0.8153467470971391
注意計算,False,127,33,12,29,False,-0.0016069350103768765,0.957856069816919,True,0.957856069816919
遅延再生,True,127,33,12,23,False,0.008836583924908523,0.6423737715007043,True,0.8153467470971391
復唱,False,127,33,12,4,True,0.0017258020793753555,0.7338120723874252,True,0.8153467470971391
読字理解,False,127,33,12,0,True,-3.8678726959746114e-20,,False,
3段階命令,False,127,33,12,13,False,-0.020535563868516446,0.09754087883892228,True,0.48770439419461137
書字,False,127,33,12,4,True,-0.0049010249789281915,0.31320510598974505,False,0.8153467470971391
図形模写,False,127,33,12,7,False,-0.0033808522489065093,0.6318625649441318,True,0.8153467470971391
