Phase,変数B(ベースライン),群構成,N,統計量(U),効果量r,p値,検定,低分散注意,q値(BH-FDR)
D: 精神症状×ベースライン,MMSE合計,あり(N=15) vs なし(N=18),33,150.5,-0.11481481481481493,0.5800913709757736,Mann-Whitney U,,0.8627754908421403
D: 精神症状×ベースライン,CDR-SB,あり(N=14) vs なし(N=16),30,134.0,-0.1964285714285714,0.36458297339942813,Mann-Whitney U,,0.7912009377792224
D: 精神症状×ベースライン,Global CDR,あり(N=14) vs なし(N=16),30,112.5,-0.0044642857142858094,1.0,Mann-Whitney U,低分散注意: 非モーダル数=4,1.0
D: 精神症状×ベースライン,MoCA-J合計,あり(N=15) vs なし(N=17),32,96.0,0.24705882352941178,0.23594640412223478,Mann-Whitney U,,0.6981171322766211
D: 精神症状×ベースライン,MMSE:時間見当識,あり(N=15) vs なし(N=18),33,127.5,0.05555555555555558,0.7925992305849017,Mann-Whitney U,,0.9059577088557726
D: 精神症状×ベースライン,MMSE:場所見当識,あり(N=15) vs なし(N=18),33,145.5,-0.07777777777777772,0.6846653312311215,Mann-Whitney U,,0.901604233935814
D: 精神症状×ベースライン,MMSE:物品呼称,,33,,,,Mann-Whitney U,低分散注意: 非モーダル数=0,
D: 精神症状×ベースライン,MMSE:記銘,あり(N=15) vs なし(N=18),33,142.5,-0.05555555555555558,0.39420695046793175,Mann-Whitney U,低分散注意: 非モーダル数=1,0.8108236238498651
D: 精神症状×ベースライン,MMSE:注意計算,あり(N=15) vs なし(N=18),33,137.0,-0.014814814814814836,0.9549420560142616,Mann-Whitney U,,0.9749060014361626
D: 精神症状×ベースライン,MMSE:遅延再生,あり(N=15) vs なし(N=18),33,132.5,0.01851851851851849,0.9371236600042964,Mann-Whitney U,,0.9608980462453592
D: 精神症状×ベースライン,MMSE:復唱,あり(N=15) vs なし(N=18),33,142.5,-0.05555555555555558,0.39420695046793175,Mann-Whitney U,低分散注意: 非モーダル数=1,0.8108236238498651
D: 精神症状×ベースライン,MMSE:読字理解,,33,,,,Mann-Whitney U,低分散注意: 非モーダル数=0,
D: 精神症状×ベースライン,MMSE:3段階命令,あり(N=15) vs なし(N=18),33,156.5,-0.1592592592592592,0.28668793587173,Mann-Whitney U,,0.7203487274060424
D: 精神症状×ベースライン,MMSE:書字,,33,,,,Mann-Whitney U,低分散注意: 非モーダル数=0,
D: 精神症状×ベースライン,MMSE:図形模写,あり(N=15) vs なし(N=18),33,126.0,0.06666666666666665,0.3008618029033998,Mann-Whitney U,低分散注意: 非モーダル数=1,0.7403116741601423
D: 精神症状×ベースライン,CDR:記憶,あり(N=14) vs なし(N=16),30,105.5,0.0580357142857143,0.7004933142090553,Mann-Whitney U,,0.9051729734760916
D: 精神症状×ベースライン,CDR:見当識,あり(N=14) vs なし(N=16),30,136.5,-0.21875,0.1953210774477666,Mann-Whitney U,,0.6358786188021734
D: 精神症状×ベースライン,CDR:判断力・問題解決,あり(N=14) vs なし(N=16),30,112.0,0.0,1.0,Mann-Whitney U,,1.0
D: 精神症状×ベースライン,CDR:地域社会の活動,あり(N=14) vs なし(N=16),30,130.0,-0.1607142857142858,0.4191671190676597,Mann-Whitney U,,0.8206379864256149
D: 精神症状×ベースライン,CDR:家庭・趣味,あり(N=14) vs なし(N=16),30,119.0,-0.0625,0.7603662357391574,Mann-Whitney U,,0.9059577088557726
D: 精神症状×ベースライン,CDR:身の回りの世話,あり(N=14) vs なし(N=16),30,105.0,0.0625,0.3850664818284828,Mann-Whitney U,低分散注意: 非モーダル数=1,0.8030212040978325
