検定種別,MMSE下位項目,記憶関連項目(事前分類),群構成,N,統計量(U),効果量r,p値,低分散注意,非モーダル数,q値(BH-FDR)
ベースライン,時間見当識,False,あり(N=12) vs なし(N=21),33,126.0,0.0,1.0,False,22,1.0
ベースライン,場所見当識,False,あり(N=12) vs なし(N=21),33,142.0,-0.12698412698412698,0.5146875685485308,False,17,0.9295329669888204
ベースライン,物品呼称,False,,33,,,,True,0,
ベースライン,記銘,True,あり(N=12) vs なし(N=21),33,132.0,-0.04761904761904767,0.4883504271844813,True,1,0.9295329669888204
ベースライン,注意計算,False,あり(N=12) vs なし(N=21),33,106.0,0.15873015873015872,0.4470728639051845,False,22,0.9295329669888204
ベースライン,遅延再生,True,あり(N=12) vs なし(N=21),33,127.5,-0.011904761904761862,0.9674336957565781,False,16,1.0
ベースライン,復唱,False,あり(N=12) vs なし(N=21),33,132.0,-0.04761904761904767,0.4883504271844813,True,1,0.9295329669888204
ベースライン,読字理解,False,,33,,,,True,0,
ベースライン,3段階命令,False,あり(N=12) vs なし(N=21),33,137.0,-0.08730158730158721,0.581356129846361,False,7,0.9295329669888204
ベースライン,書字,False,,33,,,,True,0,
ベースライン,図形模写,False,あり(N=12) vs なし(N=21),33,115.5,0.08333333333333337,0.20771208572755673,True,1,0.9295329669888204
Δ(0→18か月),時間見当識,False,あり(N=10) vs なし(N=21),31,52.5,0.5,0.023091929421799866,False,20,0.41565472959239763
Δ(0→18か月),場所見当識,False,あり(N=10) vs なし(N=21),31,120.0,-0.1428571428571428,0.5008174491766468,False,14,0.9295329669888204
Δ(0→18か月),物品呼称,False,あり(N=10) vs なし(N=21),31,110.0,-0.04761904761904767,0.5345608020345052,True,1,0.9295329669888204
Δ(0→18か月),記銘,True,あり(N=10) vs なし(N=21),31,100.0,0.04761904761904767,0.5345608020345052,True,1,0.9295329669888204
Δ(0→18か月),注意計算,False,あり(N=10) vs なし(N=21),31,111.0,-0.05714285714285716,0.8116064690143714,False,21,0.9739277628172456
Δ(0→18か月),遅延再生,True,あり(N=10) vs なし(N=21),31,111.0,-0.05714285714285716,0.7944465512424964,False,13,0.9739277628172456
Δ(0→18か月),復唱,False,あり(N=10) vs なし(N=21),31,104.5,0.004761904761904745,1.0,True,3,1.0
Δ(0→18か月),読字理解,False,,31,,,,True,0,
Δ(0→18か月),3段階命令,False,あり(N=10) vs なし(N=21),31,95.5,0.09047619047619049,0.6028440002187581,False,7,0.9295329669888204
Δ(0→18か月),書字,False,あり(N=10) vs なし(N=21),31,99.5,0.05238095238095242,0.6196886446592136,True,2,0.9295329669888204
Δ(0→18か月),図形模写,False,あり(N=10) vs なし(N=21),31,99.0,0.05714285714285716,0.6896345276569252,True,4,0.9548785767557426
