Phase,組み合わせ,関係性,N,検定,統計量,p値(未補正),q値(BH-FDR),低分散注意
B: ベースライン→Δ,MMSE:復唱(baseline) → MMSE:物品呼称(Δ),独立した組み合わせ,31,Spearman相関,1.0,0.0,0.0,"低分散注意: A非モーダル数=1, B非モーダル数=1"
B: ベースライン→Δ,MMSE:記銘(baseline) → MMSE:記銘(Δ),自己(回帰効果に注意),31,Spearman相関,-1.0,0.0,0.0,"低分散注意: A非モーダル数=1, B非モーダル数=1"
B: ベースライン→Δ,MMSE:3段階命令(baseline) → MMSE:3段階命令(Δ),自己(回帰効果に注意),31,Spearman相関,-0.8720242423823197,1.675033008623788e-10,3.2718978101784663e-08,
B: ベースライン→Δ,MMSE:遅延再生(baseline) → MMSE:遅延再生(Δ),自己(回帰効果に注意),31,Spearman相関,-0.7946947623616567,9.367388208015182e-08,1.372322372474224e-05,
A: Δ×Δ,CDR:判断力・問題解決(Δ) × CDR:地域社会の活動(Δ),独立した組み合わせ,27,Spearman相関,0.7807380536594628,1.5519291019372474e-06,0.00018188609074704538,
A: Δ×Δ,CDR-SB(Δ) × MMSE:時間見当識(Δ),独立した組み合わせ,27,Spearman相関,-0.7756236795580667,2.008948067505324e-06,0.00019620726125968666,
A: Δ×Δ,MMSE:時間見当識(Δ) × CDR:見当識(Δ),独立した組み合わせ,27,Spearman相関,-0.7535798378560978,5.688415395837666e-06,0.00047620163170869603,
A: Δ×Δ,MMSE合計(Δ) × MMSE:時間見当識(Δ),構造的(部分-全体),31,Spearman相関,0.7084862331100218,8.205406090279215e-06,0.0006010459961129525,
A: Δ×Δ,MMSE合計(Δ) × MMSE:注意計算(Δ),構造的(部分-全体),31,Spearman相関,0.6963022329997819,1.3600377985826089e-05,0.0008855357221882321,
A: Δ×Δ,MMSE合計(Δ) × CDR-SB(Δ),独立した組み合わせ,27,Spearman相関,-0.720150124095976,2.282715054126259e-05,0.00131318896988109,
B: ベースライン→Δ,Global CDR(baseline) → MMSE:書字(Δ),独立した組み合わせ,28,Spearman相関,-0.7060987881136028,2.6891241704049625e-05,0.00131318896988109,"低分散注意: A非モーダル数=4, B非モーダル数=2"
B: ベースライン→Δ,CDR:記憶(baseline) → MMSE:書字(Δ),独立した組み合わせ,28,Spearman相関,-0.7060987881136028,2.6891241704049625e-05,0.00131318896988109,低分散注意: B非モーダル数=2
A: Δ×Δ,CDR-SB(Δ) × Global CDR(Δ),独立した組み合わせ,27,Spearman相関,0.7093487793082153,3.432278750923153e-05,0.001547165652339206,
A: Δ×Δ,CDR-SB(Δ) × CDR:地域社会の活動(Δ),構造的(部分-全体),27,Spearman相関,0.6998231831885795,4.846480785134086e-05,0.002028598385777553,
A: Δ×Δ,MMSE合計(Δ) × CDR:見当識(Δ),独立した組み合わせ,27,Spearman相関,-0.6953661134843332,5.6702243550032464e-05,0.0022151676480212682,
A: Δ×Δ,CDR-SB(Δ) × CDR:判断力・問題解決(Δ),構造的(部分-全体),27,Spearman相関,0.6841924320571475,8.305410495709947e-05,0.0030393144890888003,
A: Δ×Δ,Global CDR(Δ) × CDR:判断力・問題解決(Δ),構造的(部分-全体),27,Spearman相関,0.6823975318039011,8.817123944455565e-05,0.0030393144890888003,
A: Δ×Δ,CDR-SB(Δ) × CDR:見当識(Δ),構造的(部分-全体),27,Spearman相関,0.6515837655350016,0.00023170539288797418,0.007321452629606335,
A: Δ×Δ,MMSE合計(Δ) × MoCA-J合計(Δ),独立した組み合わせ,25,Spearman相関,0.671537431393694,0.00023742589220386584,0.007321452629606335,
A: Δ×Δ,Global CDR(Δ) × CDR:地域社会の活動(Δ),構造的(部分-全体),27,Spearman相関,0.6490230098747954,0.00024987892933810016,0.007321452629606335,
A: Δ×Δ,MoCA-J合計(Δ) × MMSE:時間見当識(Δ),独立した組み合わせ,25,Spearman相関,0.6593293070591538,0.00033725768543105543,0.00941109541250469,
A: Δ×Δ,CDR-SB(Δ) × CDR:家庭・趣味(Δ),構造的(部分-全体),27,Spearman相関,0.6369427769809676,0.00035357794131107866,0.009418030618558731,
A: Δ×Δ,MMSE:場所見当識(Δ) × CDR:判断力・問題解決(Δ),独立した組み合わせ,27,Spearman相関,-0.6268625367101591,0.0004672112110973371,0.011823109378685652,
A: Δ×Δ,MMSE:書字(Δ) × CDR:身の回りの世話(Δ),独立した組み合わせ,27,Spearman相関,-0.6255432421712243,0.0004842229097072622,0.011823109378685652,低分散注意: A非モーダル数=2
B: ベースライン→Δ,MMSE:注意計算(baseline) → MMSE:注意計算(Δ),自己(回帰効果に注意),31,Spearman相関,-0.5588913922741322,0.0010827584911382,0.025379859032279406,
A: Δ×Δ,CDR-SB(Δ) × CDR:身の回りの世話(Δ),構造的(部分-全体),27,Spearman相関,0.5897592532404287,0.0012055853634754836,0.02717203934602436,
B: ベースライン→Δ,MMSE合計(baseline) → MMSE合計(Δ),自己(回帰効果に注意),31,Spearman相関,-0.5263184802232934,0.0023548279713720968,0.04952314864709132,
B: ベースライン→Δ,MMSE:図形模写(baseline) → MMSE:図形模写(Δ),自己(回帰効果に注意),31,Spearman相関,-0.5261042808091513,0.0023662937920111895,0.04952314864709132,"低分散注意: A非モーダル数=1, B非モーダル数=4"
A: Δ×Δ,MMSE合計(Δ) × CDR:地域社会の活動(Δ),独立した組み合わせ,27,Spearman相関,-0.550560462290163,0.0029226645442260403,0.058471429842227106,
B: ベースライン→Δ,MMSE合計(baseline) → CDR:地域社会の活動(Δ),独立した組み合わせ,27,Spearman相関,0.5494322636140411,0.0029934179100116263,0.058471429842227106,
A: Δ×Δ,MMSE合計(Δ) × MMSE:遅延再生(Δ),構造的(部分-全体),31,Spearman相関,0.5068801396604509,0.0036137401097942703,0.06831134530127234,
A: Δ×Δ,MMSE合計(Δ) × MMSE:場所見当識(Δ),構造的(部分-全体),31,Spearman相関,0.5020275289830259,0.004006148134868167,0.0733625877197733,
A: Δ×Δ,MMSE:場所見当識(Δ) × MMSE:遅延再生(Δ),独立した組み合わせ,31,Spearman相関,0.4986112517495373,0.004303885835034082,0.07642657876757492,
A: Δ×Δ,MoCA-J合計(Δ) × CDR:記憶(Δ),独立した組み合わせ,21,Spearman相関,-0.5769205898420583,0.0061806141836209146,0.10652470328240753,
A: Δ×Δ,CDR-SB(Δ) × MMSE:場所見当識(Δ),独立した組み合わせ,27,Spearman相関,-0.5079457920335153,0.00683256283188557,0.11439662341385555,
A: Δ×Δ,MMSE:時間見当識(Δ) × CDR:地域社会の活動(Δ),独立した組み合わせ,27,Spearman相関,-0.49755293418081814,0.008272959623470874,0.12827434892375764,
A: Δ×Δ,CDR-SB(Δ) × CDR:記憶(Δ),構造的(部分-全体),27,Spearman相関,0.4975104049757467,0.008279339756156063,0.12827434892375764,
A: Δ×Δ,CDR-SB(Δ) × MoCA-J合計(Δ),独立した組み合わせ,21,Spearman相関,-0.5597949189544997,0.008318131841472337,0.12827434892375764,
