シート,列名,全行数,欠測数,欠測率(%),ユニーク値数,サンプル値(最大5),これまでの解析で使用
MMSE,研究番号,165,0,0.0,33,"L1, L2, L3, L4, L5",済
MMSE,時点,165,0,0.0,5,"0か月, 6か月, 12か月, 18か月, 24か月",済
MMSE,合計_原資料記載値,165,22,13.3,17,"22.0, 26.0, 23.0, 24.0, 29.0",未使用
MMSE,時間見当識,165,22,13.3,6,"2.0, 4.0, 5.0, 3.0, 0.0",済
MMSE,場所見当識,165,22,13.3,4,"4.0, 3.0, 5.0, 2.0",済
MMSE,場所_県,165,22,13.3,1,1.0,済
MMSE,場所_市,165,22,13.3,2,"1.0, 0.0",済
MMSE,場所_病院,165,22,13.3,2,"1.0, 0.0",済
MMSE,場所_階,165,22,13.3,2,"0.0, 1.0",済
MMSE,場所_地方,165,22,13.3,2,"1.0, 0.0",済
MMSE,物品呼称,165,22,13.3,3,"2.0, 1.0, 0.0",済
MMSE,記銘,165,22,13.3,2,"3.0, 2.0",済
MMSE,注意計算,165,22,13.3,6,"4.0, 5.0, 1.0, 2.0, 3.0",済
MMSE,遅延再生,165,22,13.3,4,"0.0, 3.0, 1.0, 2.0",済
MMSE,復唱,165,22,13.3,2,"1.0, 0.0",済
MMSE,読字理解,165,22,13.3,1,1.0,済
MMSE,3段階命令,165,22,13.3,4,"3.0, 2.0, 1.0, 0.0",済
MMSE,書字,165,22,13.3,2,"1.0, 0.0",済
MMSE,図形模写,165,22,13.3,2,"1.0, 0.0",済
MMSE,下位項目合計_自動計算,165,22,13.3,17,"22.0, 26.0, 23.0, 24.0, 29.0",済
MMSE,不一致確認,165,25,15.2,1,一致,未使用
MMSE,評価日,165,114,69.1,49,"2024-07-23, 2025-02-25, 2025-08-19, 2026-02-03, 2024-08-09",未使用
MMSE,情報源PDF,165,9,5.5,33,"L1.pdf, L2.pdf, L3.pdf, L4.pdf, L5.pdf",未使用
MMSE,PDF該当ページ,165,22,13.3,73,"MMSE p.1 / CDR-J p.6 / MoCA-J p.11, MMSE p.2 / CDR-J p.7 / MoCA-J p.12, MMSE p.3 / CDR-J p.8 / MoCA-J p.13, MMSE p.4 / CDR-J p.9 / MoCA-J p.14, MMSE p.5 / CDR-J p.10",未使用
MMSE,要確認フラグ,165,131,79.4,1,要確認あり,未使用
MMSE,備考フラグ,165,75,45.5,1,備考あり,未使用
CDR,研究番号,165,0,0.0,33,"L1, L2, L3, L4, L5",済
CDR,時点,165,0,0.0,5,"0か月, 6か月, 12か月, 18か月, 24か月",済
CDR,CDR-SB_原資料記載値,165,165,100.0,0,,未使用
CDR,Global CDR_原資料記載値,165,30,18.2,4,"0.5, 1.0, 2.0, 0.0",済
CDR,記憶,165,30,18.2,4,"0.5, 1.0, 0.0, 2.0",済
CDR,見当識,165,30,18.2,4,"1.0, 0.5, 0.0, 2.0",済
CDR,判断力・問題解決,165,30,18.2,4,"0.5, 0.0, 1.0, 2.0",済
CDR,地域社会の活動,165,30,18.2,4,"0.5, 0.0, 1.0, 2.0",済
CDR,家庭・趣味,165,30,18.2,4,"0.5, 0.0, 1.0, 2.0",済
CDR,身の回りの世話,165,30,18.2,3,"0.0, 2.0, 1.0",済
CDR,CDR-SB_自動計算,165,30,18.2,16,"3.0, 2.5, 2.0, 0.5, 1.0",済
CDR,CDR-SB_不一致確認,165,117,70.9,1,一致,未使用
CDR,評価日,165,114,69.1,49,"2024-07-23, 2025-02-25, 2025-08-19, 2026-02-03, 2024-08-09",未使用
CDR,情報源PDF,165,9,5.5,33,"L1.pdf, L2.pdf, L3.pdf, L4.pdf, L5.pdf",未使用
CDR,PDF該当ページ,165,22,13.3,73,"MMSE p.1 / CDR-J p.6 / MoCA-J p.11, MMSE p.2 / CDR-J p.7 / MoCA-J p.12, MMSE p.3 / CDR-J p.8 / MoCA-J p.13, MMSE p.4 / CDR-J p.9 / MoCA-J p.14, MMSE p.5 / CDR-J p.10",未使用
CDR,要確認フラグ,165,131,79.4,1,要確認あり,未使用
CDR,備考フラグ,165,75,45.5,1,備考あり,未使用
MoCA-J,研究番号,165,0,0.0,33,"L1, L2, L3, L4, L5",済
MoCA-J,時点,165,0,0.0,5,"0か月, 6か月, 12か月, 18か月, 24か月",済
MoCA-J,合計_原資料記載値,165,84,50.9,17,"20.0, 21.0, 23.0, 24.0, 22.0",済
MoCA-J,評価日,165,114,69.1,49,"2024-07-23, 2025-02-25, 2025-08-19, 2026-02-03, 2024-08-09",未使用
MoCA-J,情報源PDF,165,9,5.5,33,"L1.pdf, L2.pdf, L3.pdf, L4.pdf, L5.pdf",未使用
MoCA-J,PDF該当ページ,165,22,13.3,73,"MMSE p.1 / CDR-J p.6 / MoCA-J p.11, MMSE p.2 / CDR-J p.7 / MoCA-J p.12, MMSE p.3 / CDR-J p.8 / MoCA-J p.13, MMSE p.4 / CDR-J p.9 / MoCA-J p.14, MMSE p.5 / CDR-J p.10",未使用
MoCA-J,要確認フラグ,165,131,79.4,1,要確認あり,未使用
MoCA-J,備考フラグ,165,75,45.5,1,備考あり,未使用
精神症状,研究番号,33,0,0.0,33,"L1, L2, L3, L4, L5",済
精神症状,時点,33,0,0.0,1,全体,済
精神症状,易怒性,33,0,0.0,2,"1, 0",済
精神症状,意欲低下,33,0,0.0,2,"0, 1",済
精神症状,両方なし,33,0,0.0,2,"0, 1",済
精神症状,要確認フラグ,33,6,18.2,1,要確認あり,未使用
精神症状,備考フラグ,33,25,75.8,1,備考あり,未使用
要再確認ログ,研究番号,159,0,0.0,32,"L1, L2, L3, L4, L5",済
要再確認ログ,時点,159,0,0.0,6,"0か月, 24か月, 12か月, 18か月, 全体",未使用
要再確認ログ,区分,159,0,0.0,1,管理情報,未使用
要再確認ログ,内容種別,159,0,0.0,2,"備考, 要再確認事項",未使用
要再確認ログ,内容,159,0,0.0,96,"CDR-SB原資料記載欄は空欄。CDR6領域から自動計算値のみ表示。, MoCA-J用紙は今回のPDF内で確認できず、空欄のままとした。, MoCA-J用紙の検査実施日（2024-06-17）がMMSE評価日（2024-02-16）と異なる。初回資料として格納したが、時点対応を要確認。, MoCA-J用紙の検査実施日は2025-08-27、MMSE評価日は2025-08-28。, MMSE書字（設問14）の採点丸印が判読困難。推測入力せず空欄とした。MMSE合計の原資料記載値は27点。",済
要再確認ログ,情報源PDF,159,36,22.6,32,"L1.pdf, L2.pdf, L3.pdf, L4.pdf, L5.pdf",未使用
要再確認ログ,PDF該当ページ,159,49,30.8,42,"MMSE p.1 / CDR-J p.6 / MoCA-J p.11, MMSE p.5 / CDR-J p.10, MMSE p.3 / CDR-J p.8, MMSE p.4 / CDR-J p.9 / MoCA-J p.13, MMSE p.1 / CDR-J p.5 / MoCA-J p.9",未使用
