シート,列名,全行数,欠測数,欠測率(%),ユニーク値数,サンプル値(最大5),これまでの解析で使用
MMSE,合計_原資料記載値,165,22,13.3,17,"22.0, 26.0, 23.0, 24.0, 29.0",未使用
MMSE,不一致確認,165,25,15.2,1,一致,未使用
MMSE,評価日,165,114,69.1,49,"2024-07-23, 2025-02-25, 2025-08-19, 2026-02-03, 2024-08-09",未使用
MMSE,情報源PDF,165,9,5.5,33,"L1.pdf, L2.pdf, L3.pdf, L4.pdf, L5.pdf",未使用
MMSE,PDF該当ページ,165,22,13.3,73,"MMSE p.1 / CDR-J p.6 / MoCA-J p.11, MMSE p.2 / CDR-J p.7 / MoCA-J p.12, MMSE p.3 / CDR-J p.8 / MoCA-J p.13, MMSE p.4 / CDR-J p.9 / MoCA-J p.14, MMSE p.5 / CDR-J p.10",未使用
MMSE,要確認フラグ,165,131,79.4,1,要確認あり,未使用
MMSE,備考フラグ,165,75,45.5,1,備考あり,未使用
CDR,CDR-SB_原資料記載値,165,165,100.0,0,,未使用
CDR,CDR-SB_不一致確認,165,117,70.9,1,一致,未使用
CDR,評価日,165,114,69.1,49,"2024-07-23, 2025-02-25, 2025-08-19, 2026-02-03, 2024-08-09",未使用
CDR,情報源PDF,165,9,5.5,33,"L1.pdf, L2.pdf, L3.pdf, L4.pdf, L5.pdf",未使用
CDR,PDF該当ページ,165,22,13.3,73,"MMSE p.1 / CDR-J p.6 / MoCA-J p.11, MMSE p.2 / CDR-J p.7 / MoCA-J p.12, MMSE p.3 / CDR-J p.8 / MoCA-J p.13, MMSE p.4 / CDR-J p.9 / MoCA-J p.14, MMSE p.5 / CDR-J p.10",未使用
CDR,要確認フラグ,165,131,79.4,1,要確認あり,未使用
CDR,備考フラグ,165,75,45.5,1,備考あり,未使用
MoCA-J,評価日,165,114,69.1,49,"2024-07-23, 2025-02-25, 2025-08-19, 2026-02-03, 2024-08-09",未使用
MoCA-J,情報源PDF,165,9,5.5,33,"L1.pdf, L2.pdf, L3.pdf, L4.pdf, L5.pdf",未使用
MoCA-J,PDF該当ページ,165,22,13.3,73,"MMSE p.1 / CDR-J p.6 / MoCA-J p.11, MMSE p.2 / CDR-J p.7 / MoCA-J p.12, MMSE p.3 / CDR-J p.8 / MoCA-J p.13, MMSE p.4 / CDR-J p.9 / MoCA-J p.14, MMSE p.5 / CDR-J p.10",未使用
MoCA-J,要確認フラグ,165,131,79.4,1,要確認あり,未使用
MoCA-J,備考フラグ,165,75,45.5,1,備考あり,未使用
精神症状,要確認フラグ,33,6,18.2,1,要確認あり,未使用
精神症状,備考フラグ,33,25,75.8,1,備考あり,未使用
要再確認ログ,時点,159,0,0.0,6,"0か月, 24か月, 12か月, 18か月, 全体",未使用
要再確認ログ,区分,159,0,0.0,1,管理情報,未使用
要再確認ログ,内容種別,159,0,0.0,2,"備考, 要再確認事項",未使用
要再確認ログ,情報源PDF,159,36,22.6,32,"L1.pdf, L2.pdf, L3.pdf, L4.pdf, L5.pdf",未使用
要再確認ログ,PDF該当ページ,159,49,30.8,42,"MMSE p.1 / CDR-J p.6 / MoCA-J p.11, MMSE p.5 / CDR-J p.10, MMSE p.3 / CDR-J p.8, MMSE p.4 / CDR-J p.9 / MoCA-J p.13, MMSE p.1 / CDR-J p.5 / MoCA-J p.9",未使用
