セット,項目,PC1負荷量
MMSE下位項目(Δ=18-0ヶ月),時間見当識,0.4755155847957541
MMSE下位項目(Δ=18-0ヶ月),場所見当識,0.6892338300635648
MMSE下位項目(Δ=18-0ヶ月),物品呼称,-0.489867769472565
MMSE下位項目(Δ=18-0ヶ月),記銘,0.08103712087425993
MMSE下位項目(Δ=18-0ヶ月),注意計算,0.454837660610395
MMSE下位項目(Δ=18-0ヶ月),遅延再生,0.6387497606641221
MMSE下位項目(Δ=18-0ヶ月),復唱,0.37480468070912076
MMSE下位項目(Δ=18-0ヶ月),3段階命令,0.4678052232184282
MMSE下位項目(Δ=18-0ヶ月),書字,0.5397094638218344
MMSE下位項目(Δ=18-0ヶ月),図形模写,0.5757863051186148
CDR下位領域(ベースライン),記憶,0.7276968416740713
CDR下位領域(ベースライン),見当識,0.442967683025401
CDR下位領域(ベースライン),判断力・問題解決,0.7309366974259217
CDR下位領域(ベースライン),地域社会の活動,0.8568860945915046
CDR下位領域(ベースライン),家庭・趣味,0.7586910951048895
CDR下位領域(ベースライン),身の回りの世話,0.6334629966828649
CDR下位領域(Δ=18-0ヶ月),記憶,0.2885735023098842
CDR下位領域(Δ=18-0ヶ月),見当識,0.6600853404225383
CDR下位領域(Δ=18-0ヶ月),判断力・問題解決,0.8218465938781601
CDR下位領域(Δ=18-0ヶ月),地域社会の活動,0.8396735487766263
CDR下位領域(Δ=18-0ヶ月),家庭・趣味,0.7317996518976454
CDR下位領域(Δ=18-0ヶ月),身の回りの世話,0.523278026836436
