変数A,変数B,偏相関係数,ブートストラップ安定性(エッジ出現率)
CDR:見当識,MMSE:時間見当識,0.45628937228010075,0.978
CDR-SB,Global CDR,0.4093898092486999,0.986
CDR:判断力・問題解決,MMSE:場所見当識,0.3944166841438719,0.956
MMSE合計,MoCA-J合計,0.3423904147071779,0.924
CDR:判断力・問題解決,CDR:地域社会の活動,0.32277734882652326,0.984
MMSE合計,MMSE:場所見当識,0.3208346917079119,0.91
CDR-SB,CDR:地域社会の活動,0.2873439886287423,0.976
CDR-SB,MoCA-J合計,0.2740084150384839,0.89
MMSE:時間見当識,MoCA-J合計,0.2588586986007443,0.914
CDR-SB,MMSE合計,0.25242004337550583,0.794
CDR:見当識,MMSE合計,0.23853489641703446,0.942
CDR-SB,MMSE:時間見当識,0.23348794140524018,0.956
CDR:地域社会の活動,MoCA-J合計,-0.21469891822188705,0.712
Global CDR,CDR:判断力・問題解決,0.21172528084721984,0.86
CDR:見当識,CDR:地域社会の活動,0.19841698585983208,0.834
CDR-SB,CDR:判断力・問題解決,0.18951920928684898,0.99
