18ヶ月欠測対象シート,ベースライン変数,N(欠測群),N(観測群),中央値(欠測群),中央値(観測群),p値(Mann-Whitney U),p値(Fisher正確検定),統合p値,q値(BH-FDR)
MMSE合計,MMSE合計(ベースライン),2,31,27.0,24.0,0.07048563861085574,,0.07048563861085574,0.4009353322760493
MMSE合計,CDR-SB(ベースライン),2,28,2.0,2.0,1.0,,1.0,1.0
MMSE合計,Global CDR(ベースライン),2,28,0.5,0.5,0.8326621063505325,,0.8326621063505325,1.0
MMSE合計,MoCA-J合計(ベースライン),2,30,20.0,20.5,0.6646584076196622,,0.6646584076196622,1.0
MMSE合計,易怒性あり,2,31,,,,1.0,1.0,1.0
MMSE合計,意欲低下あり,2,31,,,,0.125,0.125,0.4009353322760493
CDR-SB,MMSE合計(ベースライン),3,30,26.0,24.0,0.1252229225333955,,0.1252229225333955,0.4009353322760493
CDR-SB,CDR-SB(ベースライン),3,27,1.5,2.0,0.7258588396823793,,0.7258588396823793,1.0
CDR-SB,Global CDR(ベースライン),3,27,0.5,0.5,0.7696723627338159,,0.7696723627338159,1.0
CDR-SB,MoCA-J合計(ベースライン),3,29,20.0,21.0,0.359483764835267,,0.359483764835267,0.9243868238621151
CDR-SB,易怒性あり,3,30,,,,1.0,1.0,1.0
CDR-SB,意欲低下あり,3,30,,,,0.04032258064516129,0.04032258064516129,0.3629032258064516
MoCA-J合計,MMSE合計(ベースライン),7,26,26.0,24.0,0.036711250656946026,,0.036711250656946026,0.3629032258064516
MoCA-J合計,CDR-SB(ベースライン),7,23,2.5,2.0,0.9801579899078814,,0.9801579899078814,1.0
MoCA-J合計,Global CDR(ベースライン),7,23,0.5,0.5,0.6477373743216983,,0.6477373743216983,1.0
MoCA-J合計,MoCA-J合計(ベースライン),7,25,23.0,20.0,0.1336451107586831,,0.1336451107586831,0.4009353322760493
MoCA-J合計,易怒性あり,7,26,,,,1.0,1.0,1.0
MoCA-J合計,意欲低下あり,7,26,,,,0.6856229143492771,0.6856229143492771,1.0
