検定,除外症例,除外後交互作用係数,除外後p値
MMSE合計 × ベースライン重症度,L1,-0.04612645553841527,0.00011501586687864407
MMSE合計 × ベースライン重症度,L2,-0.04801731876680707,3.394845177025296e-05
MMSE合計 × ベースライン重症度,L3,-0.04799251571533067,5.581894063142064e-05
MMSE合計 × ベースライン重症度,L4,-0.04863222955276649,4.631264769345745e-05
MMSE合計 × ベースライン重症度,L5,-0.04553546482938526,9.596530822350566e-05
MMSE合計 × ベースライン重症度,L6,-0.048023280010229624,2.103411389417691e-05
MMSE合計 × ベースライン重症度,L7,-0.04534305206296028,0.00016550465659468094
MMSE合計 × ベースライン重症度,L8,-0.045946073414698106,0.00042381662641335953
MMSE合計 × ベースライン重症度,L9,-0.04722710878161712,7.609117037555522e-05
MMSE合計 × ベースライン重症度,L10,-0.05105803670622473,1.752592643912529e-05
MMSE合計 × ベースライン重症度,L11,-0.04126612113062148,0.0009521103255541454
MMSE合計 × ベースライン重症度,L12,-0.04800550682956504,4.861879461635826e-05
MMSE合計 × ベースライン重症度,L13,-0.048894516903940366,3.94857799048983e-05
MMSE合計 × ベースライン重症度,L14,-0.04799033442908529,1.1566977853703665e-05
MMSE合計 × ベースライン重症度,L15,-0.048894516903940366,3.94857799048983e-05
MMSE合計 × ベースライン重症度,L16,-0.04850617422362934,6.390475945034176e-05
MMSE合計 × ベースライン重症度,L17,-0.048367477470039305,6.406299315419803e-05
MMSE合計 × ベースライン重症度,L18,-0.04480738284097816,0.00023752674479852218
MMSE合計 × ベースライン重症度,L19,-0.048010853684480215,6.054864952786819e-05
MMSE合計 × ベースライン重症度,L20,-0.04870859257529346,3.9663596975657767e-05
MMSE合計 × ベースライン重症度,L21,-0.049881262930994506,5.363519358940731e-05
MMSE合計 × ベースライン重症度,L22,-0.047997560388652244,5.3561360586428105e-05
MMSE合計 × ベースライン重症度,L23,-0.04946427198766733,6.451546812862083e-05
MMSE合計 × ベースライン重症度,L24,-0.05270252725054486,1.5823187546292387e-05
MMSE合計 × ベースライン重症度,L25,-0.04802399674412362,5.2488452665300896e-05
MMSE合計 × ベースライン重症度,L26,-0.0471757035497637,9.69588950832807e-05
MMSE合計 × ベースライン重症度,L27,-0.048231746713381984,7.341277802229211e-05
MMSE合計 × ベースライン重症度,L28,-0.04691033261705147,0.00011118494220843052
MMSE合計 × ベースライン重症度,L29,-0.04838786488327902,5.475291575510086e-05
MMSE合計 × ベースライン重症度,L30,-0.05289379918343484,7.530470755326579e-06
MMSE合計 × ベースライン重症度,L31,-0.05154747590835009,2.268637133279097e-05
MMSE合計 × ベースライン重症度,L32,-0.045094493738965624,0.0001813366226707093
MMSE合計 × ベースライン重症度,L33,-0.04786606214851807,6.826381787718787e-05
CDR-SB × ベースライン重症度,L1,0.01053901803587953,0.042922573646351124
CDR-SB × ベースライン重症度,L2,0.01262308144163291,0.015200552574842955
CDR-SB × ベースライン重症度,L3,0.012634882383550965,0.015658036812981106
CDR-SB × ベースライン重症度,L4,0.013162778628639165,0.011840112373046842
CDR-SB × ベースライン重症度,L5,0.012099111663857697,0.01743326407818642
CDR-SB × ベースライン重症度,L6,0.01278488129586964,0.007852109539714916
CDR-SB × ベースライン重症度,L7,0.011924189111716428,0.025152699882002947
CDR-SB × ベースライン重症度,L8,0.011933378563061545,0.028907341598423657
CDR-SB × ベースライン重症度,L9,0.011933443686758511,0.02207078469928529
CDR-SB × ベースライン重症度,L10,0.014253475003155705,0.005901755268781399
CDR-SB × ベースライン重症度,L11,0.013284994366032506,0.01757582380653757
CDR-SB × ベースライン重症度,L12,0.01268215348520737,0.015236428535798825
CDR-SB × ベースライン重症度,L13,0.012821805983720411,0.01480207768743793
CDR-SB × ベースライン重症度,L14,0.012789170558541722,0.005985460305433341
CDR-SB × ベースライン重症度,L15,0.013391281244111814,0.009539781923161716
CDR-SB × ベースライン重症度,L16,0.014587877474023698,0.0049388080894351575
CDR-SB × ベースライン重症度,L17,0.011638179278642434,0.027137974393780993
CDR-SB × ベースライン重症度,L18,0.011135667944203365,0.03638085478242248
CDR-SB × ベースライン重症度,L19,0.012637043585215717,0.015203415420917795
CDR-SB × ベースライン重症度,L20,0.010281907446507943,0.0483933508547955
CDR-SB × ベースライン重症度,L21,0.01320516070143665,0.014615409948925096
CDR-SB × ベースライン重症度,L22,0.012707616577436404,0.013211978668619761
CDR-SB × ベースライン重症度,L23,0.01298853481817791,0.016941717186193993
CDR-SB × ベースライン重症度,L24,0.014526647576275706,0.006977901508996809
CDR-SB × ベースライン重症度,L25,0.012650404976218329,0.015087249333145005
CDR-SB × ベースライン重症度,L26,0.013878257300533256,0.00831757272534314
CDR-SB × ベースライン重症度,L27,0.013877451130632955,0.008652642550704928
CDR-SB × ベースライン重症度,L28,0.012074635281376811,0.02357184669668785
CDR-SB × ベースライン重症度,L29,0.01315692791162499,0.011809987023068519
CDR-SB × ベースライン重症度,L30,0.013644077124346645,0.009563796518510543
CDR-SB × ベースライン重症度,L31,0.012990732826482963,0.016653048924986657
CDR-SB × ベースライン重症度,L32,0.010839520272840419,0.038703016878383546
CDR-SB × ベースライン重症度,L33,0.011933443686758513,0.0220707846992852
CDR-SB × 意欲低下,L1,0.06274716133411813,0.004445180170812626
CDR-SB × 意欲低下,L2,0.0668164879924299,0.00311572324708667
CDR-SB × 意欲低下,L3,0.06813158761433513,0.002668058000011799
CDR-SB × 意欲低下,L4,0.0699540852820361,0.002693973870577174
CDR-SB × 意欲低下,L5,0.06294964210319172,0.004787697919969517
CDR-SB × 意欲低下,L6,0.054179616051435876,0.013729513102010938
CDR-SB × 意欲低下,L7,0.0667885545316054,0.003131484293938019
CDR-SB × 意欲低下,L8,0.06763441890089045,0.0025128266942929353
CDR-SB × 意欲低下,L9,0.06543936068051365,0.003626167750652917
CDR-SB × 意欲低下,L10,0.0661457209262724,0.003977814341073515
CDR-SB × 意欲低下,L11,0.0721000372907494,0.0013495257370775312
CDR-SB × 意欲低下,L12,0.07198717894057362,0.001993309845108895
