24ヶ月欠測対象シート,ベースライン変数,N(欠測群),N(観測群),中央値(欠測群),中央値(観測群),p値(Mann-Whitney U),p値(Fisher正確検定),統合p値,q値(BH-FDR)
MMSE合計,MMSE合計(ベースライン),17,16,24.0,24.0,0.6996081725221686,,0.6996081725221686,0.9544520195987047
MMSE合計,CDR-SB(ベースライン),16,14,1.75,2.0,0.5981019835618376,,0.5981019835618376,0.9544520195987047
MMSE合計,Global CDR(ベースライン),16,14,0.5,0.5,1.0,,1.0,1.0
MMSE合計,MoCA-J合計(ベースライン),17,15,21.0,20.0,0.8484017951988486,,0.8484017951988486,0.9544520195987047
MMSE合計,易怒性あり,17,16,,,,0.6011730205278591,0.6011730205278591,0.9544520195987047
MMSE合計,意欲低下あり,17,16,,,,1.0,1.0,1.0
CDR-SB,MMSE合計(ベースライン),19,14,24.0,24.0,0.5772572243676499,,0.5772572243676499,0.9544520195987047
CDR-SB,CDR-SB(ベースライン),18,12,1.75,2.0,0.8299841098266287,,0.8299841098266287,0.9544520195987047
CDR-SB,Global CDR(ベースライン),18,12,0.5,0.5,0.40948400596874,,0.40948400596874,0.9544520195987047
CDR-SB,MoCA-J合計(ベースライン),19,13,20.0,20.0,0.7559781851171468,,0.7559781851171468,0.9544520195987047
CDR-SB,易怒性あり,19,14,,,,0.561217008797654,0.561217008797654,0.9544520195987047
CDR-SB,意欲低下あり,19,14,,,,0.48606180780577457,0.48606180780577457,0.9544520195987047
Global CDR,MMSE合計(ベースライン),19,14,24.0,24.0,0.5772572243676499,,0.5772572243676499,0.9544520195987047
Global CDR,CDR-SB(ベースライン),18,12,1.75,2.0,0.8299841098266287,,0.8299841098266287,0.9544520195987047
Global CDR,Global CDR(ベースライン),18,12,0.5,0.5,0.40948400596874,,0.40948400596874,0.9544520195987047
Global CDR,MoCA-J合計(ベースライン),19,13,20.0,20.0,0.7559781851171468,,0.7559781851171468,0.9544520195987047
Global CDR,易怒性あり,19,14,,,,0.561217008797654,0.561217008797654,0.9544520195987047
Global CDR,意欲低下あり,19,14,,,,0.48606180780577457,0.48606180780577457,0.9544520195987047
