検定,除外症例,除外後交互作用係数,除外後p値
MMSE合計 × ベースラインCDR-SB,L1,-0.07858924849000565,0.0011652487413403429
MMSE合計 × ベースラインCDR-SB,L2,-0.06509213608524334,0.010244499676378352
MMSE合計 × ベースラインCDR-SB,L3,-0.0690729549697979,0.006403682931320284
MMSE合計 × ベースラインCDR-SB,L4,-0.07100365997501859,0.0040640658205894666
MMSE合計 × ベースラインCDR-SB,L6,-0.060870481567625,0.011006493157406236
MMSE合計 × ベースラインCDR-SB,L7,-0.06638466360663221,0.006946922794119806
MMSE合計 × ベースラインCDR-SB,L9,-0.07021701831779219,0.0043248051129286084
MMSE合計 × ベースラインCDR-SB,L10,-0.07126107958659998,0.006162218490996852
MMSE合計 × ベースラインCDR-SB,L11,-0.06664852679408109,0.004839756919189861
MMSE合計 × ベースラインCDR-SB,L12,-0.0683664867786781,0.005765587121867706
MMSE合計 × ベースラインCDR-SB,L13,-0.07131803991964022,0.0046477146116627325
MMSE合計 × ベースラインCDR-SB,L14,-0.04870928687962249,0.04823758585802655
MMSE合計 × ベースラインCDR-SB,L15,-0.07204433718818053,0.00350169089332977
MMSE合計 × ベースラインCDR-SB,L16,-0.07116253694301096,0.004083108743075584
MMSE合計 × ベースラインCDR-SB,L17,-0.07426313269060376,0.0028794199488238314
MMSE合計 × ベースラインCDR-SB,L18,-0.08320513187933452,0.0005450859093537772
MMSE合計 × ベースラインCDR-SB,L20,-0.07239658632874998,0.002384473440237862
MMSE合計 × ベースラインCDR-SB,L21,-0.0730130534746494,0.0033373262717293455
MMSE合計 × ベースラインCDR-SB,L22,-0.07205543742887915,0.0034822354224998586
MMSE合計 × ベースラインCDR-SB,L23,-0.07335193273106472,0.0032114926748069714
MMSE合計 × ベースラインCDR-SB,L24,-0.07187557514451996,0.00447681335429436
MMSE合計 × ベースラインCDR-SB,L25,-0.07136953746843638,0.003980808650712517
MMSE合計 × ベースラインCDR-SB,L26,-0.07278572995671455,0.0030474699343359525
MMSE合計 × ベースラインCDR-SB,L27,-0.0706159495984871,0.0044520767301549705
MMSE合計 × ベースラインCDR-SB,L28,-0.06847229806599328,0.005936204579200733
MMSE合計 × ベースラインCDR-SB,L29,-0.07021977702338111,0.004526568879688275
MMSE合計 × ベースラインCDR-SB,L30,-0.07451942053713294,0.01591323870987027
MMSE合計 × ベースラインCDR-SB,L31,-0.07368060750771528,0.0032136636926793673
MMSE合計 × ベースラインCDR-SB,L32,-0.08042404759763595,0.0009003347093786577
MMSE合計 × ベースラインCDR-SB,L33,-0.07061963398808462,0.004461330258373709
