項目,満点,あり_Δ18M,なし_Δ18M,差_あり引くなし,Cliffs_delta,p_MannWhitney_補正前,p_Welch_補正前,q_MannWhitney_FDR補正後,q_Welch_FDR補正後
記銘,3,+0.11 ± 0.33,+0.00 ± 0.00,0.111,0.111,0.1567,0.3466,0.7781,0.7625
書字,1,-0.11 ± 0.33,+0.00 ± 0.00,-0.111,-0.111,0.1567,0.3466,0.7781,0.7625
時間見当識,5,+0.11 ± 1.83,-0.60 ± 1.31,0.711,0.289,0.2122,0.3152,0.7781,0.7625
復唱,1,+0.00 ± 0.00,-0.10 ± 0.31,0.1,0.1,0.3615,0.1625,0.7924,0.7625
注意計算,5,+0.56 ± 2.60,-0.10 ± 1.29,0.656,0.2,0.3967,0.4903,0.7924,0.7705
場所見当識,5,-0.22 ± 0.97,+0.10 ± 0.97,-0.322,-0.167,0.4322,0.4208,0.7924,0.7705
物品呼称,2,+0.00 ± 0.00,-0.05 ± 0.22,0.05,0.05,0.551,0.3299,0.8607,0.7625
図形模写,1,-0.11 ± 0.60,-0.05 ± 0.22,-0.061,-0.067,0.6651,0.7739,0.8607,0.9459
遅延再生,3,-0.44 ± 0.88,-0.25 ± 0.85,-0.194,-0.083,0.7042,0.5869,0.8607,0.807
3段階命令,3,+0.33 ± 0.71,+0.30 ± 0.73,0.033,0.028,0.8938,0.909,0.9832,0.9999
読字理解,1,+0.00 ± 0.00,+0.00 ± 0.00,0.0,0.0,1.0,,1.0,1.0
